map_id,handle,source_query,sprite_name,width,height,spawn_x,spawn_y,target_map_id,target_spawn_x,target_spawn_y,protocol,answer_handle
11,transp_12,transp/flag2.swf,flag2,158,258,2920,532,12,175,490,CrossRole,goto
11,transp_123,transp/flag2.swf,flag2,158,258,1900,160,123,2115,620,CrossRole,goto
12,transp_11,transp/flag2.swf,flag2,158,258,90,490,11,2835,532,CrossRole,goto
12,transp_84,transp/flag2.swf,flag2,158,258,2950,520,84,175,540,CrossRole,goto
13,transp_14,transp/flag2.swf,flag2,158,258,1420,260,14,375,520,CrossRole,goto
13,transp_9,transp/flag2.swf,flag2,158,258,80,560,9,1436,290,CrossRole,goto
14,transp_13,transp/flag2.swf,flag2,158,258,290,520,13,1335,340,CrossRole,goto
14,transp_15,transp/flag2.swf,flag2,158,258,1110,520,15,165,440,CrossRole,goto
15,transp_14,transp/flag2.swf,flag2,158,258,80,440,14,1025,520,CrossRole,goto
15,transp_16,transp/flag2.swf,flag2,158,258,1230,180,16,185,450,CrossRole,goto
16,transp_15,transp/flag2.swf,flag2,158,258,100,450,15,1145,260,CrossRole,goto
16,transp_17,transp/flag2.swf,flag2,158,258,1025,190,17,165,510,CrossRole,goto
17,transp_16,transp/flag2.swf,flag2,158,258,80,510,16,940,270,CrossRole,goto
17,transp_18,transp/flag2.swf,flag2,158,258,815,200,18,1265,450,CrossRole,goto
18,transp_64,transp/flag2.swf,flag2,158,258,580,290,64,125,431,CrossRole,goto
18,transp_17,transp/flag2.swf,flag2,158,258,1350,450,17,730,280,CrossRole,goto
19,transp_20,transp/flag2.swf,flag2,158,258,2920,530,20,152,524,CrossRole,goto
19,transp_9,transp/flag2.swf,flag2,158,258,67,524,9,2835,480,CrossRole,goto
20,transp_19,transp/flag2.swf,flag2,158,258,67,524,19,2835,530,CrossRole,goto
20,transp_21,transp/flag2.swf,flag2,158,258,2920,560,21,152,564,CrossRole,goto
21,transp_20,transp/flag2.swf,flag2,158,258,67,564,20,2835,560,CrossRole,goto
21,transp_22,transp/flag2.swf,flag2,158,258,2920,530,22,152,534,CrossRole,goto
21,transp_25,transp/flag2.swf,flag2,158,258,1432,740,25,375,520,CrossRole,goto
22,transp_21,transp/flag2.swf,flag2,158,258,67,534,21,2835,530,CrossRole,goto
22,transp_23,transp/flag2.swf,flag2,158,258,2950,530,23,152,514,CrossRole,goto
23,transp_22,transp/flag2.swf,flag2,158,258,67,514,22,2865,530,CrossRole,goto
23,transp_24,transp/flag2.swf,flag2,158,258,2956,530,24,375,520,CrossRole,goto
23,transp_27,transp/flag2.swf,flag2,158,258,2226,730,27,310,430,CrossRole,goto
24,transp_23,transp/flag2.swf,flag2,158,258,290,520,23,2871,530,CrossRole,goto
24,transp_27,transp/flag2.swf,flag2,158,258,2710,520,27,375,520,CrossRole,goto
25,transp_21,transp/flag2.swf,flag2,158,258,290,520,21,1432,660,CrossRole,goto
25,transp_30,transp/flag2.swf,flag2,158,258,2710,520,30,375,520,CrossRole,goto
26,transp_30,transp/flag2.swf,flag2,158,258,290,520,30,625,520,CrossRole,goto
26,transp_28,transp/flag2.swf,flag2,158,258,2710,520,28,375,520,CrossRole,goto
27,transp_23,transp/flag2.swf,flag2,158,258,225,350,23,2141,650,CrossRole,goto
27,transp_28,transp/flag2.swf,flag2,158,258,1319,740,28,1000,600,CrossRole,goto
27,transp_29,transp/flag2.swf,flag2,158,258,2920,550,29,152,524,CrossRole,goto
27,transp_24,transp/flag2.swf,flag2,158,258,290,520,24,2625,520,CrossRole,goto
28,transp_26,transp/flag2.swf,flag2,158,258,290,520,26,2625,520,CrossRole,goto
28,transp_32,transp/flag2.swf,flag2,158,258,2710,520,32,375,520,CrossRole,goto
29,transp_27,transp/flag2.swf,flag2,158,258,67,524,27,2835,550,CrossRole,goto
29,transp_31,transp/flag2.swf,flag2,158,258,2950,534,31,152,584,CrossRole,goto
30,transp_25,transp/flag2.swf,flag2,158,258,290,520,25,2625,520,CrossRole,goto
30,transp_26,transp/flag2.swf,flag2,158,258,710,520,26,375,520,CrossRole,goto
31,transp_29,transp/flag2.swf,flag2,158,258,67,584,29,2865,534,CrossRole,goto
31,transp_33,transp/flag2.swf,flag2,158,258,2950,620,33,142,584,CrossRole,goto
32,transp_28,transp/flag2.swf,flag2,158,258,290,520,28,2625,520,CrossRole,goto
33,transp_31,transp/flag2.swf,flag2,158,258,57,584,31,2865,620,CrossRole,goto
33,transp_34,transp/flag2.swf,flag2,158,258,2950,624,34,142,564,CrossRole,goto
33,transp_37,transp/flag2.swf,flag2,158,258,1124,750,37,520,470,CrossRole,goto
34,transp_104,transp/flag2.swf,flag2,158,258,1234,472,104,782,640,CrossRole,goto
34,transp_33,transp/flag2.swf,flag2,158,258,57,564,33,2865,624,CrossRole,goto
34,transp_35,transp/flag2.swf,flag2,158,258,2950,620,35,142,584,CrossRole,goto
34,transp_38,transp/flag2.swf,flag2,158,258,966,750,38,1770,400,CrossRole,goto
35,transp_34,transp/flag2.swf,flag2,158,258,57,584,34,2865,620,CrossRole,goto
35,transp_36,transp/flag2.swf,flag2,158,258,2950,620,36,142,584,CrossRole,goto
36,transp_158,transp/fl.swf,fl,139,147,2804,558,158,120,481,CrossRole,goto
36,transp_35,transp/flag2.swf,flag2,158,258,57,584,35,2865,620,CrossRole,goto
37,transp_130,transp/flag2.swf,flag2,158,258,40,560,130,2865,550,CrossRole,goto
37,transp_33,transp/flag2.swf,flag2,158,258,435,470,33,1124,670,CrossRole,goto
37,transp_38,transp/flag2.swf,flag2,158,258,2950,560,38,145,544,CrossRole,goto
37,transp_41,transp/flag2.swf,flag2,158,258,735,750,41,580,470,CrossRole,goto
38,transp_34,transp/flag2.swf,flag2,158,258,1770,400,34,1051,670,CrossRole,goto
38,transp_37,transp/flag2.swf,flag2,158,258,60,544,37,2865,560,CrossRole,goto
38,transp_39,transp/flag2.swf,flag2,158,258,2950,540,39,142,534,CrossRole,goto
38,transp_42,transp/flag2.swf,flag2,158,258,1070,700,42,1525,420,CrossRole,goto
39,transp_38,transp/flag2.swf,flag2,158,258,57,534,38,2865,540,CrossRole,goto
39,transp_40,transp/flag2.swf,flag2,158,258,2950,540,40,142,554,CrossRole,goto
39,transp_43,transp/flag2.swf,flag2,158,258,1060,724,43,885,442,CrossRole,goto
40,transp_39,transp/flag2.swf,flag2,158,258,57,554,39,2865,540,CrossRole,goto
40,transp_44,transp/flag2.swf,flag2,158,258,970,750,44,1927,430,CrossRole,goto
40,transp_45,transp/flag2.swf,flag2,158,258,2960,580,45,125,544,CrossRole,goto
41,transp_0,transp/fl3.swf,fl3,158,258,50,600,3,825,624,CrossRole,goto
41,transp_37,transp/flag2.swf,flag2,158,258,495,470,37,820,670,CrossRole,goto
41,transp_42,transp/flag2.swf,flag2,158,258,2950,580,42,122,587,CrossRole,goto
42,transp_38,transp/flag2.swf,flag2,158,258,1525,420,38,1070,620,CrossRole,goto
42,transp_41,transp/flag2.swf,flag2,158,258,37,587,41,2865,580,CrossRole,goto
42,transp_43,transp/flag2.swf,flag2,158,258,2950,580,43,135,580,CrossRole,goto
43,transp_39,transp/flag2.swf,flag2,158,258,800,442,39,1060,644,CrossRole,goto
43,transp_42,transp/flag2.swf,flag2,158,258,50,580,42,2865,580,CrossRole,goto
43,transp_44,transp/flag2.swf,flag2,158,258,2955,580,44,132,584,CrossRole,goto
44,transp_40,transp/flag2.swf,flag2,158,258,1927,430,40,1055,670,CrossRole,goto
44,transp_43,transp/flag2.swf,flag2,158,258,47,584,43,2870,580,CrossRole,goto
44,transp_48,transp/flag2.swf,flag2,158,258,2950,580,48,132,634,CrossRole,goto
45,transp_40,transp/flag2.swf,flag2,158,258,40,544,40,2875,580,CrossRole,goto
45,transp_46,transp/flag2.swf,flag2,158,258,3460,580,46,125,564,CrossRole,goto
46,transp_47,transp/flag2.swf,flag2,158,258,3460,580,47,125,564,CrossRole,goto
46,transp_48,transp/flag2.swf,flag2,158,258,1720,730,48,770,480,CrossRole,goto
46,transp_45,transp/flag2.swf,flag2,158,258,40,564,45,3375,580,CrossRole,goto
47,transp_52,transp/flag2.swf,flag2,158,258,3460,550,52,132,584,CrossRole,goto
47,transp_46,transp/flag2.swf,flag2,158,258,40,564,46,3375,580,CrossRole,goto
48,transp_44,transp/flag2.swf,flag2,158,258,47,634,44,2865,580,CrossRole,goto
48,transp_46,transp/flag2.swf,flag2,158,258,770,480,46,1720,650,CrossRole,goto
48,transp_49,transp/flag2.swf,flag2,158,258,750,725,49,265,464,CrossRole,goto
48,transp_51,transp/flag2.swf,flag2,158,258,1450,630,51,115,600,CrossRole,goto
49,transp_50,transp/flag2.swf,flag2,158,258,2950,650,50,125,424,CrossRole,goto
49,transp_48,transp/flag2.swf,flag2,158,258,180,464,48,750,645,CrossRole,goto
50,transp_51,transp/flag2.swf,flag2,158,258,2647,424,51,1060,650,CrossRole,goto
50,transp_55,transp/flag2.swf,flag2,158,258,2967,553,55,125,564,CrossRole,goto
50,transp_49,transp/flag2.swf,flag2,158,258,40,424,49,2865,650,CrossRole,goto
51,transp_48,transp/flag2.swf,flag2,158,258,30,600,48,1365,630,CrossRole,goto
51,transp_50,transp/flag2.swf,flag2,158,258,975,730,50,2562,424,CrossRole,goto
51,transp_52,transp/flag2.swf,flag2,158,258,1880,464,52,1971,650,CrossRole,goto
51,transp_54,transp/flag2.swf,flag2,158,258,2950,580,54,125,540,CrossRole,goto
52,transp_47,transp/flag2.swf,flag2,158,258,47,584,47,3375,550,CrossRole,goto
52,transp_51,transp/flag2.swf,flag2,158,258,1971,730,51,1880,464,CrossRole,goto
52,transp_53,transp/flag2.swf,flag2,158,258,2950,600,53,132,544,CrossRole,goto
53,transp_360,transp/fl.swf,fl,139,147,2601,480,360,1000,600,CrossRole,goto
53,transp_52,transp/flag2.swf,flag2,158,258,47,544,52,2865,600,CrossRole,goto
53,transp_54,transp/flag2.swf,flag2,158,258,2769,730,54,1673,470,CrossRole,goto
54,transp_51,transp/flag2.swf,flag2,158,258,40,540,51,2865,580,CrossRole,goto
54,transp_53,transp/flag2.swf,flag2,158,258,1758,470,53,2684,650,CrossRole,goto
54,transp_55,transp/flag2.swf,flag2,158,258,2389,730,55,545,450,CrossRole,goto
55,transp_50,transp/flag2.swf,flag2,158,258,40,564,50,2882,553,CrossRole,goto
55,transp_54,transp/flag2.swf,flag2,158,258,460,450,54,2304,650,CrossRole,goto
55,transp_56,transp/flag2.swf,flag2,158,258,2940,562,56,135,544,CrossRole,goto
56,transp_55,transp/flag2.swf,flag2,158,258,50,544,55,2855,562,CrossRole,goto
56,transp_57,transp/flag2.swf,flag2,158,258,2940,562,57,135,544,CrossRole,goto
57,transp_56,transp/flag2.swf,flag2,158,258,50,544,56,2855,562,CrossRole,goto
57,transp_58,transp/flag2.swf,flag2,158,258,2630,722,58,2156,414,CrossRole,goto
58,transp_57,transp/flag2.swf,flag2,158,258,2241,414,57,2545,642,CrossRole,goto
58,transp_59,transp/flag2.swf,flag2,158,258,460,720,59,407,440,CrossRole,goto
58,transp_61,transp/flag2.swf,flag2,158,258,2940,562,61,135,544,CrossRole,goto
59,transp_58,transp/flag2.swf,flag2,158,258,322,440,58,545,640,CrossRole,goto
59,transp_60,transp/flag2.swf,flag2,158,258,2940,562,60,135,544,CrossRole,goto
60,transp_59,transp/flag2.swf,flag2,158,258,50,544,59,2855,562,CrossRole,goto
60,transp_62,transp/flag2.swf,flag2,158,258,2940,562,62,130,504,CrossRole,goto
61,transp_58,transp/flag2.swf,flag2,158,258,50,544,58,2855,562,CrossRole,goto
61,transp_63,transp/flag2.swf,flag2,158,258,2940,602,63,135,504,CrossRole,goto
62,transp_168,transp/flag2.swf,flag2,158,258,2940,562,168,130,504,CrossRole,goto
62,transp_60,transp/flag2.swf,flag2,158,258,45,504,60,2855,562,CrossRole,goto
63,transp_179,transp/fl.swf,fl,139,147,1394,510,179,1000,600,CrossRole,goto
63,transp_61,transp/flag2.swf,flag2,158,258,50,504,61,2855,602,CrossRole,goto
64,transp_18,transp/flag2.swf,flag2,158,258,40,431,18,580,370,CrossRole,goto
64,transp_65,transp/flag2.swf,flag2,158,258,950,430,65,125,437,CrossRole,goto
65,transp_64,transp/flag2.swf,flag2,158,258,45,454,64,950,430,CrossRole,goto
65,transp_66,transp/flag2.swf,flag2,158,258,1250,500,66,126,429,CrossRole,goto
66,transp_65,transp/flag2.swf,flag2,158,258,45,454,65,1250,500,CrossRole,goto
66,transp_67,transp/flag2.swf,flag2,158,258,1450,500,67,145,494,CrossRole,goto
67,transp_66,transp/flag2.swf,flag2,158,258,45,494,66,1365,500,CrossRole,goto
67,transp_68,transp/flag2.swf,flag2,158,258,1550,470,68,129,471,CrossRole,goto
68,transp_67,transp/flag2.swf,flag2,158,258,45,494,67,1465,470,CrossRole,goto
68,transp_69,transp/flag2.swf,flag2,158,258,1380,354,69,129,497,CrossRole,goto
68,transp_70,transp/flag2.swf,flag2,158,258,1950,580,70,375,520,CrossRole,goto
69,transp_68,transp/flag2.swf,flag2,158,258,45,514,68,1380,434,CrossRole,goto
69,transp_71,transp/flag2.swf,flag2,158,258,2450,440,71,129,471,CrossRole,goto
70,transp_68,transp/flag2.swf,flag2,158,258,290,520,68,1865,580,CrossRole,goto
70,transp_72,transp/flag2.swf,flag2,158,258,1710,520,72,130,584,CrossRole,goto
71,transp_69,transp/flag2.swf,flag2,158,258,45,424,69,2365,440,CrossRole,goto
71,transp_73,transp/flag2.swf,flag2,158,258,2750,600,73,126,394,CrossRole,goto
72,transp_70,transp/flag2.swf,flag2,158,258,45,584,70,1625,520,CrossRole,goto
72,transp_73,transp/flag2.swf,flag2,158,258,2405,423,73,2265,640,CrossRole,goto
72,transp_74,transp/flag2.swf,flag2,158,258,2798,580,74,2809,422,CrossRole,goto
73,transp_71,transp/flag2.swf,flag2,158,258,45,424,71,2665,600,CrossRole,goto
73,transp_72,transp/flag2.swf,flag2,158,258,2350,720,72,2372,443,CrossRole,goto
73,transp_77,transp/flag2.swf,flag2,158,258,2950,550,77,125,450,CrossRole,goto
74,transp_72,transp/flag2.swf,flag2,158,258,2819,340,72,2713,580,CrossRole,goto
74,transp_75,transp/flag2.swf,flag2,158,258,95,720,75,1332,394,CrossRole,goto
75,transp_74,transp/flag2.swf,flag2,158,258,1338,380,74,180,640,CrossRole,goto
75,transp_76,transp/flag2.swf,flag2,158,258,2838,350,76,129,525,CrossRole,goto
76,transp_18,transp/fl.swf,fl,139,147,1590,541,18,600,300,CrossRole,goto
76,transp_75,transp/flag2.swf,flag2,158,258,25,544,75,2753,430,CrossRole,goto
77,transp_73,transp/flag2.swf,flag2,158,258,40,431,73,2852,529,CrossRole,goto
77,transp_78,transp/flag2.swf,flag2,158,258,2611,400,78,88,570,CrossRole,goto
78,transp_77,transp/flag2.swf,flag2,158,258,40,550,77,2607,430,CrossRole,goto
79,transp_80,transp/flag2.swf,flag2,158,258,60,524,80,2855,524,CrossRole,goto
80,transp_81,transp/flag2.swf,flag2,158,258,80,534,81,2855,464,CrossRole,goto
80,transp_79,transp/flag2.swf,flag2,158,258,2940,524,79,145,524,CrossRole,goto
81,transp_82,transp/flag2.swf,flag2,158,258,75,464,82,2855,464,CrossRole,goto
81,transp_80,transp/flag2.swf,flag2,158,258,2940,464,80,165,534,CrossRole,goto
82,transp_83,transp/flag2.swf,flag2,158,258,75,464,83,2845,480,CrossRole,goto
82,transp_81,transp/flag2.swf,flag2,158,258,2940,464,81,160,464,CrossRole,goto
83,transp_0,transp/flag2.swf,flag2,158,258,341,363,3,825,624,CrossRole,goto
83,transp_82,transp/flag2.swf,flag2,158,258,2930,480,82,160,464,CrossRole,goto
84,transp_12,transp/flag2.swf,flag2,158,258,90,540,12,2865,520,CrossRole,goto
84,transp_85,transp/flag2.swf,flag2,158,258,2950,560,85,175,540,CrossRole,goto
85,transp_84,transp/flag2.swf,flag2,158,258,90,540,84,2865,560,CrossRole,goto
85,transp_86,transp/flag2.swf,flag2,158,258,2950,560,86,175,540,CrossRole,goto
86,transp_85,transp/flag2.swf,flag2,158,258,90,540,85,2865,560,CrossRole,goto
86,transp_87,transp/flag2.swf,flag2,158,258,2950,560,87,175,540,CrossRole,goto
86,transp_97,transp/flag2.swf,flag2,158,258,1630,420,97,1477,640,CrossRole,goto
87,transp_86,transp/flag2.swf,flag2,158,258,90,540,86,2865,560,CrossRole,goto
87,transp_88,transp/flag2.swf,flag2,158,258,2680,720,88,1600,430,CrossRole,goto
88,transp_100,transp/flag2.swf,flag2,158,258,2950,560,100,1000,600,CrossRole,goto
88,transp_87,transp/flag2.swf,flag2,158,258,1600,430,87,2595,640,CrossRole,goto
88,transp_89,transp/flag2.swf,flag2,158,258,220,720,89,2735,430,CrossRole,goto
89,transp_88,transp/flag2.swf,flag2,158,258,2820,430,88,305,640,CrossRole,goto
89,transp_90,transp/flag2.swf,flag2,158,258,70,550,90,2865,560,CrossRole,goto
90,transp_106,transp/flag2.swf,flag2,158,258,915,720,106,1000,600,CrossRole,goto
90,transp_89,transp/flag2.swf,flag2,158,258,2950,560,89,155,550,CrossRole,goto
90,transp_91,transp/flag2.swf,flag2,158,258,70,550,91,2865,560,CrossRole,goto
91,transp_90,transp/flag2.swf,flag2,158,258,2950,560,90,155,550,CrossRole,goto
91,transp_92,transp/flag2.swf,flag2,158,258,70,550,92,1000,600,CrossRole,goto
97,transp_86,transp/flag2.swf,flag2,158,258,1477,720,86,1630,420,CrossRole,goto
97,transp_98,transp/flag2.swf,flag2,158,258,2950,560,98,1000,600,CrossRole,goto
101,transp_100,transp/flag2.swf,flag2,158,258,90,540,100,1000,600,CrossRole,goto
102,transp_103,transp/flag2.swf,flag2,158,258,47,584,103,1000,600,CrossRole,goto
102,transp_92,transp/flag2.swf,flag2,158,258,2950,580,92,1000,600,CrossRole,goto
104,transp_103,transp/flag2.swf,flag2,158,258,2950,580,103,1000,600,CrossRole,goto
104,transp_34,transp/flag2.swf,flag2,158,258,697,720,34,1234,472,CrossRole,goto
108,transp_109,transp/flag2.swf,flag2,158,258,2950,570,109,129,550,CrossRole,goto
108,transp_8,transp/flag2.swf,flag2,158,258,44,550,8,2865,490,CrossRole,goto
109,transp_108,transp/flag2.swf,flag2,158,258,44,550,108,2865,570,CrossRole,goto
109,transp_110,transp/flag2.swf,flag2,158,258,2950,570,110,129,550,CrossRole,goto
109,transp_120,transp/flag2.swf,flag2,158,258,1786,300,120,1000,600,CrossRole,goto
110,transp_109,transp/flag2.swf,flag2,158,258,44,550,109,2865,570,CrossRole,goto
110,transp_111,transp/flag2.swf,flag2,158,258,2447,340,111,1000,600,CrossRole,goto
110,transp_113,transp/flag2.swf,flag2,158,258,730,700,113,1400,230,CrossRole,goto
113,transp_110,transp/flag2.swf,flag2,158,258,1400,150,110,815,620,CrossRole,goto
113,transp_114,transp/flag2.swf,flag2,158,258,2950,480,114,145,580,CrossRole,goto
113,transp_115,transp/flag2.swf,flag2,158,258,40,450,115,2865,530,CrossRole,goto
114,transp_113,transp/flag2.swf,flag2,158,258,60,580,113,2865,480,CrossRole,goto
115,transp_113,transp/flag2.swf,flag2,158,258,2950,530,113,125,450,CrossRole,goto
122,transp_121,transp/flag2.swf,flag2,158,258,1460,520,121,1000,600,CrossRole,goto
122,transp_146,transp/fl.swf,fl,139,147,329,480,146,1860,448,CrossRole,goto
123,transp_11,transp/flag2.swf,flag2,158,258,2200,700,11,1900,240,CrossRole,goto
123,transp_124,transp/flag2.swf,flag2,158,258,40,480,124,1855,570,CrossRole,goto
124,transp_123,transp/flag2.swf,flag2,158,258,1940,570,123,125,480,CrossRole,goto
124,transp_125,transp/flag2.swf,flag2,158,258,40,320,125,1855,630,CrossRole,goto
125,transp_124,transp/flag2.swf,flag2,158,258,1940,630,124,125,400,CrossRole,goto
125,transp_126,transp/flag2.swf,flag2,158,258,40,320,126,1000,600,CrossRole,goto
127,transp_131,transp/fl.swf,fl,139,147,1020,300,131,129,530,CrossRole,goto
127,transp_126,transp/flag2.swf,flag2,158,258,1950,570,126,1000,600,CrossRole,goto
130,transp_129,transp/flag2.swf,flag2,158,258,44,550,129,1000,600,CrossRole,goto
130,transp_37,transp/flag2.swf,flag2,158,258,2950,550,37,125,560,CrossRole,goto
131,transp_132,transp/flag2.swf,flag2,158,258,2950,550,132,129,530,CrossRole,goto
131,transp_127,transp/flag2.swf,flag2,158,258,44,530,127,1020,380,CrossRole,goto
132,transp_133,transp/flag2.swf,flag2,158,258,2450,550,133,129,530,CrossRole,goto
132,transp_131,transp/flag2.swf,flag2,158,258,44,530,131,2865,550,CrossRole,goto
133,transp_132,transp/flag2.swf,flag2,158,258,44,530,132,2365,550,CrossRole,goto
133,transp_137,transp/flag2.swf,flag2,158,258,2960,530,137,125,555,CrossRole,goto
133,transp_134,transp/flag2.swf,flag2,158,258,1909,720,134,1000,600,CrossRole,goto
137,transp_133,transp/flag2.swf,flag2,158,258,40,555,133,2875,530,CrossRole,goto
137,transp_144,transp/flag2.swf,flag2,158,258,2960,570,144,129,530,CrossRole,goto
137,transp_138,transp/flag2.swf,flag2,158,258,1740,380,138,1000,600,CrossRole,goto
140,transp_141,transp/flag2.swf,flag2,158,258,2950,650,141,255,420,CrossRole,goto
140,transp_145,transp/flag2.swf,flag2,158,258,40,500,145,2375,550,CrossRole,goto
140,transp_139,transp/flag2.swf,flag2,158,258,1446,360,139,1000,600,CrossRole,goto
141,transp_140,transp/flag2.swf,flag2,158,258,170,340,140,2865,650,CrossRole,goto
141,transp_142,transp/flag2.swf,flag2,158,258,1800,720,142,2695,430,CrossRole,goto
142,transp_141,transp/flag2.swf,flag2,158,258,2780,350,141,1715,640,CrossRole,goto
142,transp_143,transp/flag2.swf,flag2,158,258,1909,720,143,305,430,CrossRole,goto
142,transp_136,transp/flag2.swf,flag2,158,258,40,520,136,1000,600,CrossRole,goto
143,transp_142,transp/flag2.swf,flag2,158,258,220,350,142,1909,640,CrossRole,goto
143,transp_127,transp/fl.swf,fl,139,147,2120,440,127,1000,600,CrossRole,goto
144,transp_145,transp/flag2.swf,flag2,158,258,2800,720,145,285,410,CrossRole,goto
144,transp_137,transp/flag2.swf,flag2,158,258,44,530,137,2875,570,CrossRole,goto
145,transp_140,transp/flag2.swf,flag2,158,258,2460,550,140,125,500,CrossRole,goto
145,transp_144,transp/flag2.swf,flag2,158,258,200,410,144,2715,640,CrossRole,goto
145,transp_136,transp/flag2.swf,flag2,158,258,1523,720,136,1000,600,CrossRole,goto
146,transp_122,transp/flag2.swf,flag2,158,258,1950,488,122,414,480,CrossRole,goto
146,transp_147,transp/flag2.swf,flag2,158,258,55,507,147,2850,498,CrossRole,goto
146,transp_152,transp/flag2.swf,flag2,158,258,409,185,152,2863,550,CrossRole,goto
147,transp_146,transp/flag2.swf,flag2,158,258,2964,529,146,140,507,CrossRole,goto
147,transp_148,transp/flag2.swf,flag2,158,258,31,561,148,1855,468,CrossRole,goto
148,transp_147,transp/flag2.swf,flag2,158,258,1969,505,147,116,561,CrossRole,goto
148,transp_149,transp/flag2.swf,flag2,158,258,424,379,149,129,544,CrossRole,goto
149,transp_148,transp/flag2.swf,flag2,158,258,30,550,148,424,401,CrossRole,goto
149,transp_150,transp/flag2.swf,flag2,158,258,2280,351,150,1426,633,CrossRole,goto
150,transp_149,transp/flag2.swf,flag2,158,258,1413,750,149,2280,365,CrossRole,goto
150,transp_151,transp/flag2.swf,flag2,158,258,2969,437,151,122,608,CrossRole,goto
150,transp_153,transp/flag2.swf,flag2,158,258,151,273,153,2785,434,CrossRole,goto
151,transp_150,transp/flag2.swf,flag2,158,258,37,688,150,2893,469,CrossRole,goto
151,transp_152,transp/flag2.swf,flag2,158,258,2463,442,152,122,588,CrossRole,goto
152,transp_146,transp/flag2.swf,flag2,158,258,2963,600,146,494,265,CrossRole,goto
152,transp_151,transp/flag2.swf,flag2,158,258,37,588,151,2373,426,CrossRole,goto
153,transp_150,transp/flag2.swf,flag2,158,258,2869,444,150,236,353,CrossRole,goto
153,transp_154,transp/flag2.swf,flag2,158,258,1401,706,154,2881,310,CrossRole,goto
153,transp_156,transp/flag2.swf,flag2,158,258,32,492,156,2382,473,CrossRole,goto
154,transp_153,transp/flag2.swf,flag2,158,258,2966,230,153,1401,626,CrossRole,goto
154,transp_155,transp/flag2.swf,flag2,158,258,37,513,155,1841,506,CrossRole,goto
154,transp_157,transp/flag2.swf,flag2,158,258,956,114,157,270,640,CrossRole,goto
155,transp_122,transp/fl.swf,fl,139,147,158,455,122,530,520,CrossRole,goto
155,transp_154,transp/flag2.swf,flag2,158,258,1941,556,154,122,513,CrossRole,goto
156,transp_153,transp/flag2.swf,flag2,158,258,2466,494,153,117,492,CrossRole,goto
156,transp_157,transp/flag2.swf,flag2,158,258,31,509,157,2890,494,CrossRole,goto
157,transp_154,transp/flag2.swf,flag2,158,258,185,720,154,920,159,CrossRole,goto
157,transp_156,transp/flag2.swf,flag2,158,258,2963,515,156,116,509,CrossRole,goto
158,transp_159,transp/flag2.swf,flag2,158,258,2964,514,159,115,515,CrossRole,goto
158,transp_36,transp/flag2.swf,flag2,158,258,35,481,36,2719,558,CrossRole,goto
159,transp_158,transp/flag2.swf,flag2,158,258,30,515,158,2879,514,CrossRole,goto
159,transp_160,transp/flag2.swf,flag2,158,258,2816,700,160,265,420,CrossRole,goto
159,transp_162,transp/flag2.swf,flag2,158,258,1366,465,162,248,593,CrossRole,goto
160,transp_159,transp/flag2.swf,flag2,158,258,180,420,159,2731,620,CrossRole,goto
160,transp_161,transp/flag2.swf,flag2,158,258,1214,729,161,196,405,CrossRole,goto
160,transp_164,transp/flag2.swf,flag2,158,258,2449,542,164,139,506,CrossRole,goto
161,transp_160,transp/flag2.swf,flag2,158,258,111,405,160,1214,649,CrossRole,goto
162,transp_159,transp/flag2.swf,flag2,158,258,163,673,159,1366,465,CrossRole,goto
