map_id,handle,role_id,display_name,source_query,sprite_name,width,height,spawn_x,spawn_y,state,quest_state,guild_name,guild_pic,kind
2,4140542615070416,,噌痴,npc/噌痴.swf,cengchi,81,117,407,360,0,2,,,
2,4100542614427315,,娴无禄,npc/娴无录.swf,xianwulu,57,134,2450,400,0,3,,,
3,4970542616788530,,VIP大使,npc/other/节日大使.swf,jieridashi,117,151,372,595,0,0,,,
3,4910542615957836,,申公烈,npc/申公烈.swf,shengonglie,108,116,675,545,0,0,,,
3,4920542616052493,,火娥娘,npc/火娥娘.swf,huoeniang,57,135,1180,409,0,0,,,
3,5010542616817526,,交易行管理员,npc/交易行管理员.swf,jiaoyihang,46,106,1612,420,0,0,,,
3,4930542616250587,,铃铛,npc/铃铛.swf,lingdang,72,135,1829,426,0,0,,,
3,4990542616803864,,通天八卦炉<ma>,npc/通天八卦炉.swf,bagualu,174,220,2139,430,0,0,,,
3,5000542616815700,,妖术狐狸,npc/狐狸.swf,huli,48,48,2370,465,0,0,,,
3,4940542616468969,,叶眉,npc/叶眉.swf,yemei,65,156,2589,465,0,0,,,
3,4950542616589339,,熊猫竹生,npc/熊猫竹生.swf,xiongmaozhusheng,74,90,2862,426,0,0,,,
3,4960542616750900,,介象,npc/介象.swf,jiexiang,84,146,3051,442,0,0,,,
3,4980542616799322,,排行告示,npc/公告牌.swf,gonggaopai,136,149,3325,420,0,0,,,
45,1810542611191117,,丑二品,npc/2品丑.swf,chouerpin,40,117,3213,310,0,4,,,
45,1780542610743555,,伏天,npc/伏天.swf,futian,73,141,1600,390,0,3,,,
45,1850542611497321,,妖术狐狸,npc/狐狸.swf,huli,58,111,2420,335,0,0,,,
45,1860542611566530,,圣诞树,npc/other/圣诞树.swf,shengdanshu,178,204,2765,400,0,2,,,
45,1840542611483497,,锁妖鼎,npc/锁妖鼎.swf,suoyaoding,141,156,1266,417,0,0,,,
45,1790542610850918,,广青守卫甲,npc/卫兵_向右.swf,weibing_right,80,170,464,419,0,2,,,
45,1800542611079956,,雨娃,npc/雨娃.swf,yuwa,97,81,867,430,0,0,,,
45,1830542611405809,,通天八卦炉<ma>,npc/通天八卦炉.swf,bagualu,264,244,1782,400,0,0,,,
45,1820542611400955,,丑五品,npc/6品丑.swf,chouwupin,66,121,2547,361,0,4,,,
46,2150542612192672,,王喜财,npc/王喜财.swf,wangxicai,136,115,3130,321,0,0,,,
46,2210542612665747,,衙役乙,npc/衙役乙.swf,yayi_yi,90,146,1832,463,0,3,,,
46,2170542612315146,,林公子,npc/林公子.swf,lingongzi,48,147,3087,629,0,0,,,
46,2160542612239918,,白乞,npc/白乞.swf,baiqi,163,112,181,395,0,4,,,
46,2230542612965723,,玄机道士,npc/玄机道士.swf,xuanjidaoshi,103,127,616,420,0,0,,,
46,2190542612528390,,张妈,npc/张妈.swf,zhangma,75,123,1506,452,0,0,,,
46,2140542612112200,,擂台护卫,npc/擂台护卫.swf,leitaihuwei,82,175,2763,454,0,0,,,
46,2100542611864758,,大斗,npc/大斗.swf,dadou,114,135,2949,252,0,3,,,
46,2180542612350162,,孙大福,npc/孙大福.swf,sundafu,74,163,3287,577,0,0,,,
46,2200542612620422,,衙役甲,npc/衙役甲.swf,yayi_jia,78,158,2111,465,0,3,,,
46,2130542612102200,,排行告示,npc/公告牌.swf,gonggaopai,136,149,1109,425,0,0,,,
46,2220542612946566,,夏侯武,npc/夏侯武.swf,xiahouwu,96,154,846,430,0,4,,,
46,2110542611994150,,小斗,npc/小斗.swf,xiaodou,107,129,3205,245,0,1,,,
46,2120542612098244,,李老头,npc/李老头.swf,lilaotou,52,105,1392,440,0,3,,,
47,2500542613172144,,云衣娘,npc/云衣娘.swf,yunyiniang,58,162,1459,441,0,0,,,
47,2540542613409380,,广青守卫丙,npc/卫兵_向右.swf,weibing_right,80,170,3246,624,0,0,,,
47,2560542613616537,,幻化使者,npc/lingxia/大葱哥.swf,dacongge,78,165,1957,453,0,0,,,
47,2520542613299551,,伏罗,npc/伏罗.swf,fuluo,75,121,2408,380,0,0,,,
47,2550542613498646,,帚公,npc/帚公.swf,zhougong,120,135,876,409,0,1,,,
47,2510542613193577,,木安,npc/木安.swf,muan,55,146,285,425,0,0,,,
47,2530542613373649,,广青守卫乙,npc/卫兵_向右.swf,weibing_right,80,170,3197,392,0,0,,,
168,4720542615647172,,白源镇告示栏,npc/公告牌.swf,gonggaopai,136,149,724,430,0,0,,,
168,4710542615621525,,向隐,npc/向隐.swf,xiangyin,69,151,1170,434,0,2,医疗师,5002,
168,4730542615655127,,通天八卦炉<ma>,npc/通天八卦炉.swf,bagualu,264,244,1759,440,0,0,合成道具,5001,
169,5040542617131880,,袁天纲,npc/袁天纲.swf,yuantiangang,75,164,805,400,0,2,技能导师,5003,
169,5060542617335713,,妖术狐狸,npc/狐狸.swf,huli,58,111,1238,450,0,0,传送大师,5005,
169,5050542617322114,,白叟,npc/白叟.swf,baisou,45,148,1618,468,0,2,仓库管理,5004,
169,5070542617350720,,排行告示,npc/公告牌.swf,gonggaopai,136,149,2208,430,0,0,,,
170,5310542617702520,,游氏子,npc/游氏子.swf,youshizi,149,172,745,423,0,2,道具商,5001,
170,5300542617580783,,苦虚无,npc/苦虚无.swf,kuxuwu,88,145,1173,430,0,4,锻造师,5000,
187,7620542619919529,,莫坨坨,npc/莫坨坨.swf,motuotuo,109,150,519,299,0,4,公会创建,5003,
187,7640542620118422,,胡澈,npc/胡澈.swf,huche,121,189,1130,423,0,0,,,
187,7650542620201230,,骈釜子,npc/骈釜子.swf,pianfuzi,142,200,2200,450,0,4,,,
187,7660542620215960,,妖术狐狸,npc/狐狸.swf,huli,58,111,735,400,0,0,传送大师,5005,
187,7630542620072660,,胡涞,npc/胡涞.swf,hulai,107,193,1881,445,0,0,技能导师,5003,
188,7720542620445842,,郭菩,npc/郭菩.swf,guopu,101,158,1388,433,0,3,医疗师,5002,
188,7710542620292513,,介仕,npc/介仕.swf,jieshi,86,169,826,384,0,1,道具商,5001,
188,7730542620459606,,矿点,npc/采矿点.swf,caikuangdian,73,60,1171,385,0,0,,,
189,7480542619653453,,杜可筠,npc/杜可筠.swf,dukeyun,104,182,390,410,0,0,交易行,5001,
189,7470542619589250,,魁星泰斗,npc/魁星泰斗.swf,kuixingtai,176,221,2685,365,0,0,锻造师,5000,
189,7490542619656404,,通天八卦炉<ma>,npc/通天八卦炉.swf,bagualu,263,244,2105,380,0,0,合成道具,5001,
189,7460542619494385,,祝掌柜,npc/祝掌柜.swf,zhuzhanggui,141,183,1626,407,0,0,仓库管理,5004,
190,6210542618495892,,妖术狐狸,npc/狐狸.swf,huli,48,48,1810,400,0,0,传送大师,5005,
190,6200542618485245,,通天八卦炉<ma>,npc/通天八卦炉.swf,bagualu,174,220,2150,400,0,0,合成道具,5001,
190,6180542618405797,,镇山威,npc/镇山威.swf,zhenshanwei,132,185,636,510,0,1,技能导师,5003,
190,6190542618476150,,丑四品,npc/丑四品.swf,chouwupin,66,121,1482,452,0,2,道具商,5001,
190,6220542618496305,,排行告示,npc/公告牌.swf,gonggaopai,136,149,1029,474,0,0,,,
191,6360542618722932,,虚中,npc/虚中.swf,xuzhong,121,172,1082,450,0,0,医疗师,5002,
191,6370542618853300,,虞莫,npc/虞莫.swf,yumo,115,190,2483,380,0,0,锻造师,5000,
191,6350542618650282,,汉雄,npc/汉雄.swf,hanxiong,56,160,1514,471,0,1,仓库管理,5004,
