map_id,encounter_handles,weight,source
174,capture-174-drughornets-lv28;3741766722935500;3741766722935500,1,capture_dedup_s2c
175,1292876508688954;9520876486737550,51,capture_dedup_s2c
175,1292876508688954;9520876486737550;9520876486737550,44,capture_dedup_s2c
175,1292876508688954;1292876508688954;9520876486737550,36,capture_dedup_s2c
175,3729876678791209;1292876508688954;1292876508688954;1292876508688954,35,capture_dedup_s2c
175,1292876508688954;1292876508688954,32,capture_dedup_s2c
175,9520876486737550;9520876486737550,28,capture_dedup_s2c
175,1292876508688954;1292876508688954;1292876508688954,16,capture_dedup_s2c
175,9520876486737550;9520876486737550;9520876486737550,14,capture_dedup_s2c
177,2843924512567764;1356924340603876;1356924340603876;1356924340603876,2,capture_dedup_s2c
177,1356924340603876;1356924340603876;1356924340603876,1,capture_dedup_s2c
178,4062924384803641;4062924384803641,2,capture_dedup_s2c
178,4062924384803641;4062924384803641;4062924384803641;4062924384803641,1,capture_dedup_s2c
192,capture-192-robotax-lv30,64,capture_dedup_s2c
192,capture-192-robotax-lv31,52,capture_dedup_s2c
193,capture-193-robotax-lv32,156,capture_dedup_s2c
193,capture-193-robotax-lv32;capture-193-robotax-lv32,119,capture_dedup_s2c
196,capture-196-robotax-lv34,3,capture_dedup_s2c
196,capture-196-robotax-lv34;capture-196-robotawl-lv34,3,capture_dedup_s2c
196,capture-196-robothyun-lv34;capture-196-robothyun-lv34;capture-196-robothmarshal-lv37;capture-196-robotawl-lv34,3,capture_dedup_s2c
196,capture-196-robotawl-lv34,3,capture_dedup_s2c
196,capture-196-robotax-lv34;capture-196-robotax-lv34,1,capture_dedup_s2c
196,capture-196-robotawl-lv34;capture-196-robotawl-lv34,1,capture_dedup_s2c
198,capture-198-robotawl-lv33,185,capture_dedup_s2c
198,capture-198-robotawl-lv33;capture-198-robotawl-lv33,171,capture_dedup_s2c
199,capture-199-robothyun-lv34;capture-199-robothyun-lv34,7,capture_dedup_s2c
199,capture-199-robothyun-lv34;capture-199-robothyun-lv34;capture-199-robothyun-lv34,2,capture_dedup_s2c
200,capture-200-robotax-lv34;capture-200-robotawl-lv34,3,capture_dedup_s2c
200,capture-200-robotax-lv34;capture-200-robotax-lv34,2,capture_dedup_s2c
200,capture-200-robotawl-lv34,2,capture_dedup_s2c
201,capture-201-robothyun-lv34;capture-201-robothyun-lv34,227,capture_dedup_s2c
201,capture-201-robothyun-lv34,222,capture_dedup_s2c
202,capture-202-robotawl-lv35;capture-202-robotawl-lv35,16,capture_dedup_s2c
202,capture-202-robotawl-lv35;capture-202-robotawl-lv35;capture-202-robotawl-lv35,14,capture_dedup_s2c
204,capture-204-robotax-lv32;capture-204-robotawl-lv32,1,capture_dedup_s2c
205,capture-205-robotax-lv35;capture-205-robotax-lv35;capture-205-robotax-lv35,4,capture_dedup_s2c
205,capture-205-robotax-lv35;capture-205-robotax-lv35,2,capture_dedup_s2c
210,capture-210-glassyx-lv38,95,capture_dedup_s2c
210,capture-210-glasszs-lv38,74,capture_dedup_s2c
210,capture-210-glassyx-lv38;capture-210-glasszs-lv38,68,capture_dedup_s2c
210,capture-210-glassyx-lv38;capture-210-glassyx-lv38,40,capture_dedup_s2c
210,capture-210-glasszs-lv38;capture-210-glasszs-lv38,25,capture_dedup_s2c
216,capture-216-glassss-lv40;capture-216-glassss-lv40,299,capture_dedup_s2c
216,capture-216-glassss-lv40,244,capture_dedup_s2c
222,capture-222-glassss-lv42,82,capture_dedup_s2c
222,capture-222-glassss-lv42;capture-222-glassss-lv42;capture-222-glassss-lv42,77,capture_dedup_s2c
222,capture-222-glassss-lv42;capture-222-glassss-lv42,71,capture_dedup_s2c
