candidate_id,map_id,map_name,monster_name,max_hp,window_count,experience_counts,item_counts,item_drop_windows,item_observed_rates,reward_indices,source,status
18-bluemagicrock-586,18,飞仙崖,蓝咒石怪,586,3,0x3,废渣x3;碎铁矿x1;石块x1,废渣x3;碎铁矿x1;石块x1,废渣=3/3;碎铁矿=1/3;石块=1/3,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#1991|2196|2241,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-crystalrock-547,18,飞仙崖,晶石怪,547,9,292x7;584x2,废渣x8;石块x5;碎铁矿x4,废渣x7;石块x5;碎铁矿x3,废渣=7/9;石块=5/9;碎铁矿=3/9,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#4384|5293|5337|5545|6107|6402|6549|7024|7642,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-crystalrock-708,18,飞仙崖,晶石怪,708,6,292x5;584x1,碎铁矿x1;废渣x5;石块x2,碎铁矿x1;废渣x5;石块x2,碎铁矿=1/6;废渣=5/6;石块=2/6,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#3588|3707|3841|4042|4848|6598,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-crystalrock-730,18,飞仙崖,晶石怪,730,5,632x5,石块x6;废渣x6;碎铁矿x2;L小喇叭x1,石块x5;废渣x3;碎铁矿x2;L小喇叭x1,石块=5/5;废渣=3/5;碎铁矿=2/5;L小喇叭=1/5,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#5915|6060|7307|7514|7955,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-jdby-160,18,飞仙崖,尖刀暴牙,160,1,0x1,兽牙x1;石块x1,兽牙x1;石块x1,兽牙=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#1621,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-largerock-1500,18,飞仙崖,巨岩魔,1500,2,682x1;0x1,废渣x2;石块x3;水晶x2;岩魔菱石x2;岩魔球石x2;巨岩魔的拳x2;巨岩魔的头x1;岩化护腿x2;蓝晶护肩x2;岩魔剑x1;宝匣x1,废渣x2;石块x2;水晶x2;岩魔菱石x2;岩魔球石x2;巨岩魔的拳x2;巨岩魔的头x1;岩化护腿x2;蓝晶护肩x2;岩魔剑x1;宝匣x1,废渣=2/2;石块=2/2;水晶=2/2;岩魔菱石=2/2;岩魔球石=2/2;巨岩魔的拳=2/2;巨岩魔的头=1/2;岩化护腿=1/5;蓝晶护肩=1/5;岩魔剑=1/5;宝匣=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#7868;20260613_160656_039_session_27124/20260613_160706_875_conn_0002/server-to-client-0001.bin#2692,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin;20260613_160656_039_session_27124/20260613_160706_875_conn_0002/server-to-client-0001.bin,candidate
18-magicrockman-1500,18,飞仙崖,岩化魔人,1500,2,658x1;0x1,废渣x1;碎铁矿x1;石块x3;岩化护腿x2;碎金片x1;岩魔菱石x1,废渣x1;碎铁矿x1;石块x2;岩化护腿x2;碎金片x1;岩魔菱石x1,废渣=1/2;碎铁矿=1/2;石块=2/2;岩化护腿=1/5;碎金片=1/2;岩魔菱石=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#6237;20260613_160656_039_session_27124/20260613_160706_875_conn_0002/server-to-client-0001.bin#2048,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin;20260613_160656_039_session_27124/20260613_160706_875_conn_0002/server-to-client-0001.bin,candidate
31-yagu-220,31,平原_1,牙菇,220,2,0x2,蘑菇x1;毒囊x1;L小喇叭x1,蘑菇x1;毒囊x1;L小喇叭x1,蘑菇=1/2;毒囊=1/2;L小喇叭=1/2,20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#9962|10052,20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
33-blackiron-260,33,平原_2,黑铁怪,260,56,0x56,废渣x26;石块x32;碎铁矿x26;铁块x1;L小喇叭x2,废渣x26;石块x32;碎铁矿x26;铁块x1;L小喇叭x2,废渣=26/56;石块=32/56;碎铁矿=26/56;铁块=1/56;L小喇叭=2/56,20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin#2639|2674;20260530_013348_770_session_22244/20260530_013356_323_conn_0002/server-to-client-0001.bin#251|286|342|400;20260530_140245_657_session_19972/20260530_140252_496_conn_0002/server-to-client-0001.bin#399|436|466|521|557|596|1066|1096|1126|1182|1236;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin#115|147;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin#206|237|268|300|340|385|413|440|468|510|542|572|608|644|682|716;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#10172|10238|10275|10309|10385|10450|10491|10526|10592|10623|10661|10694|10743|10773|10836|10874|10910|10945|10976|11006|11068,20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin;20260530_013348_770_session_22244/20260530_013356_323_conn_0002/server-to-client-0001.bin;20260530_140245_657_session_19972/20260530_140252_496_conn_0002/server-to-client-0001.bin;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
34-bomepig-260,34,平原_3,爆骨猪,260,10,0x7;206x3,毛皮x6;肉x2;兽骨x1;兽血x4;大猪牙x2;L小喇叭x1,毛皮x6;肉x2;兽骨x1;兽血x4;大猪牙x2;L小喇叭x1,毛皮=6/10;肉=2/10;兽骨=1/10;兽血=4/10;大猪牙=2/10;L小喇叭=1/10,20260524_113450_799_conn_0002#2533|2590|2667;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#11192|11228|11312|11378|11492|11524|11617,20260524_113450_799_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
34-yagu-230,34,平原_3,牙菇,230,3,0x1;182x2,蘑菇x1;毒囊x1;毛皮x1;兽血x1,蘑菇x1;毒囊x1;毛皮x1;兽血x1,蘑菇=1/3;毒囊=1/3;毛皮=1/3;兽血=1/3,20260524_113450_799_conn_0002#2621|2759;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#11672,20260524_113450_799_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
35-bomepig-295,35,平原_4,爆骨猪,295,2,0x2,兽骨x1;毛皮x1;兽血x1;肉x1,兽骨x1;毛皮x1;兽血x1;肉x1,兽骨=1/2;毛皮=1/2;兽血=1/2;肉=1/2,20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin#953|990,20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin,candidate
36-bomepig-265,36,平原_5,爆骨猪,265,16,0x7;440x4;880x5,兽骨x9;毛皮x11;肉x5;兽血x5;大猪牙x7,兽骨x7;毛皮x8;肉x5;兽血x4;大猪牙x7,兽骨=7/16;毛皮=8/16;肉=5/16;兽血=4/16;大猪牙=7/16,20260524_113450_799_conn_0002#7909|7996|8053|8102|8391|8594|8668|8748|8847;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#2031|2219|2692|2836|3004|3219|3361,20260524_113450_799_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
36-bomepig-280,36,平原_5,爆骨猪,280,40,0x23;440x6;448x1;880x9;896x1,毛皮x21;兽血x13;兽骨x19;野猪的头x1;大猪牙x15;L小喇叭x3;肉x19,毛皮x20;兽血x11;兽骨x17;野猪的头x1;大猪牙x15;L小喇叭x3;肉x18,毛皮=20/40;兽血=11/40;兽骨=17/40;野猪的头=1/40;大猪牙=15/40;L小喇叭=3/40;肉=18/40,20260524_113450_799_conn_0002#7480|7586|7678|7732|7835|8185|8252|8340|8491|8932|9061|9194|9255|9349|9444|9508|9599;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#2092|2148|2286|2384|2434|2470|2555|2644|2752|2792|2916|2950|3053|3088|3131|3166|3325|3393|3454|3514|3580|3645|3710,20260524_113450_799_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
37-huayao-230,37,平原_6,花妖,230,24,0x18;172x6,叶片x10;花瓣x11;藤条x9;蜜x7;何首乌x1;L小喇叭x1;花妖护腕x1,叶片x10;花瓣x11;藤条x9;蜜x7;何首乌x1;L小喇叭x1;花妖护腕x1,叶片=10/24;花瓣=11/24;藤条=9/24;蜜=7/24;何首乌=1/24;L小喇叭=1/24;花妖护腕=1/24,20260523_210149_461_conn_0002#3537|3649|3706|3763|3956|4005;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#15797|15831|15875|16202|16286|16325|16426|16457|16499;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#18888|19015|19057|19143|19242|19288|19317|19407|19450,20260523_210149_461_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
38-bomepig-260,38,平原_7,爆骨猪,260,1,0x1,毛皮x1,毛皮x1,毛皮=1/1,20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#11740,20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
39-jdby-280,39,平原_8,尖刀暴牙,280,6,0x6,人参x1;石块x2;头骨x3;兽牙x1,人参x1;石块x2;头骨x3;兽牙x1,人参=1/6;石块=2/6;头骨=3/6;兽牙=1/6,20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#11821|11851|12002|16591;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#18744|19560,20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
39-swordbird-230,39,平原_8,刺鸟,230,5,0x3;182x2,羽x4;喙x3,羽x4;喙x3,羽=4/5;喙=3/5,20260524_113450_799_conn_0002#2812|3040;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#11787|11879|11972,20260524_113450_799_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
40-jdby-280,40,平原_9,尖刀暴牙,280,1,0x1,L小喇叭x1,L小喇叭x1,L小喇叭=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#18708,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
41-yagu-250,41,平原_10,牙菇,250,2,168x2,毒囊x1;L小喇叭x1,毒囊x1;L小喇叭x1,毒囊=1/2;L小喇叭=1/2,20260523_210149_461_conn_0002#4765|4809,20260523_210149_461_conn_0002,candidate
43-swordbird-230,43,平原_12,刺鸟,230,1,192x1,羽x1,羽x1,羽=1/1,20260523_210149_461_conn_0002#4949,20260523_210149_461_conn_0002,candidate
44-jdby-250,44,平原_13,尖刀暴牙,250,7,210x2;216x1;404x4,石块x4;何首乌x1;兽牙x4;头骨x3;人参x1,石块x4;何首乌x1;兽牙x4;头骨x3;人参x1,石块=4/7;何首乌=1/7;兽牙=4/7;头骨=3/7;人参=1/7,20260523_210149_461_conn_0002#5029|9348|9453;20260524_113450_799_conn_0002#6460|6567|6606|6638,20260523_210149_461_conn_0002;20260524_113450_799_conn_0002,candidate
48-robber-330,48,平原_14,盗贼,330,16,0x8;234x2;488x6,铜钱x55;盗贼的首级x4;红方巾x1;L小喇叭x1;盗贼护腿x1,铜钱x11;盗贼的首级x4;红方巾x1;L小喇叭x1;盗贼护腿x1,铜钱=11/16;盗贼的首级=4/16;红方巾=1/16;L小喇叭=1/16;盗贼护腿=1/16,20260524_113450_799_conn_0002#10156|10228|10371|10415|10485|10584|15075|15154;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin#1430|1475|1542|1585;20260531_210124_142_session_08616/20260531_210131_983_conn_0002/server-to-client-0001.bin#824|876|904|931,20260524_113450_799_conn_0002;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin;20260531_210124_142_session_08616/20260531_210131_983_conn_0002/server-to-client-0001.bin,candidate
49-robber-445,49,平原_15,盗贼,445,9,0x2;290x2;516x1;580x1;610x3,铜钱x60;盗贼的首级x4;L小喇叭x2;红方巾x2;毛皮x1,铜钱x8;盗贼的首级x4;L小喇叭x2;红方巾x2;毛皮x1,铜钱=8/9;盗贼的首级=4/9;L小喇叭=2/9;红方巾=2/9;毛皮=1/9,20260524_005936_257_conn_0002#231|361;20260524_113450_799_conn_0002#178|249|729|1247;20260524_190906_802_conn_0002#511;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#14486|14639,20260524_005936_257_conn_0002;20260524_113450_799_conn_0002;20260524_190906_802_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
49-robber-452,49,平原_15,盗贼,452,8,0x2;282x1;320x2;610x3,铜钱x40;红方巾x2;盗贼的首级x1;毛皮x2;盗贼布衣x1,铜钱x7;红方巾x2;盗贼的首级x1;毛皮x2;盗贼布衣x1,铜钱=7/8;红方巾=2/8;盗贼的首级=1/8;毛皮=2/8;盗贼布衣=1/8,20260524_113450_799_conn_0002#380|586|783|889|1381|15488;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#14692|14905,20260524_113450_799_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin,candidate
50-lilghost-520,50,平原_16,巡路小鬼,520,15,282x4;564x3;588x1;590x2;604x2;1176x2;1264x1,铜钱x67,铜钱x15,铜钱=15/15,20260524_113450_799_conn_0002#4686|5599|5785|10785|10871|11228|15559|15805;20260524_190906_802_conn_0002#679|762|947;20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin#463|758|891|943,20260524_113450_799_conn_0002;20260524_190906_802_conn_0002;20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin,candidate
50-lilghost-545,50,平原_16,巡路小鬼,545,16,308x4;590x4;616x1;644x3;660x1;1180x1;1232x1;1320x1,铜钱x66;L小喇叭x1,铜钱x15;L小喇叭x1,铜钱=15/16;L小喇叭=1/16,20260524_113450_799_conn_0002#5896|6047|10667|10929|10985|11696|15610|15699;20260524_190906_802_conn_0002#724;20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin#562|627|680|840|1017|1233|1386,20260524_113450_799_conn_0002;20260524_190906_802_conn_0002;20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin,candidate
51-bigswordwolf-2500,51,平原_17,单刀狼人,2500,1,1394x1,毛皮x1;铜钱x10;红方巾x1;盗贼的首级x1,毛皮x1;铜钱x1;红方巾x1;盗贼的首级x1,毛皮=1/1;铜钱=1/1;红方巾=1/1;盗贼的首级=1/1,20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin#2435,20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin,candidate
52-bigswordwolf-2500,52,平原_18,单刀狼人,2500,6,1342x1;1368x1;2788x2;2912x1,毛皮x7;铜钱x65;L小喇叭x1;红方巾x1;狼兽的头x1;盗贼的首级x2,毛皮x5;铜钱x6;L小喇叭x1;红方巾x1;狼兽的头x1;盗贼的首级x2,毛皮=5/6;铜钱=6/6;L小喇叭=1/6;红方巾=1/6;狼兽的头=1/6;盗贼的首级=2/6,20260524_113450_799_conn_0002#14649;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin#1629|2543;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#620|12772;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#9680,20260524_113450_799_conn_0002;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
52-lilghost-545,52,平原_18,巡路小鬼,545,20,316x4;328x4;632x3;644x2;656x4;1312x3,铜钱x95;盗贼的鞋x1;毛皮x1;L小喇叭x2;狮虎窟通行证x1,铜钱x19;盗贼的鞋x1;毛皮x1;L小喇叭x2;狮虎窟通行证x1,铜钱=19/20;盗贼的鞋=1/20;毛皮=1/20;L小喇叭=2/20;狮虎窟通行证=1/20,20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin#3883;20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin#216|529|621|1055|1543;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin#531|1057|1704|1752|1936;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin#1727|1815;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#12829|12875|13098|13238;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#8913|8966|9066,20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin;20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
52-robber-470,52,平原_18,盗贼,470,24,316x1;322x2;328x7;632x1;656x9;1312x4,铜钱x98;盗贼的首级x4;L小喇叭x2;盗贼的鞋x1;毛皮x4;盗贼护臂x1;红方巾x1,铜钱x17;盗贼的首级x4;L小喇叭x2;盗贼的鞋x1;毛皮x4;盗贼护臂x1;红方巾x1,铜钱=17/24;盗贼的首级=4/24;L小喇叭=2/24;盗贼的鞋=1/24;毛皮=4/24;盗贼护臂=1/24;红方巾=1/24,20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin#3615|3736|4036|4153;20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin#312|834|946|1012|1110|1163|1218|1280|1376|1420;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin#415|599|696|1811|2017|2095;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin#1893;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin#128;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#8852|9140,20260527_221927_589_session_32860/20260527_221946_203_conn_0002/server-to-client-0001.bin;20260528_223742_571_session_45112/20260528_223753_707_conn_0002/server-to-client-0001.bin;20260531_023839_239_session_45660/20260531_023846_804_conn_0002/server-to-client-0001.bin;20260531_030921_326_session_42888/20260531_030928_076_conn_0002/server-to-client-0001.bin;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin;20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
54-robber-465,54,平原_20,盗贼,465,1,310x1,铜钱x5,铜钱x1,铜钱=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#20327,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
55-lilghost-560,55,平原_21,巡路小鬼,560,1,672x1,铜钱x3,铜钱x1,铜钱=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#20402,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
56-lilghost-600,56,沼泽_1,小恶鬼,600,27,0x8;708x6;736x3;746x3;1416x4;1468x3,废渣x8;铜钱x96;毒囊x6;水晶x1;L小喇叭x2,废渣x8;铜钱x23;毒囊x6;水晶x1;L小喇叭x2,废渣=8/27;铜钱=23/27;毒囊=6/27;水晶=1/27;L小喇叭=2/27,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#20548|20663|20952;20260606_200103_131_session_00324/20260606_200109_321_conn_0002/server-to-client-0001.bin#2643|2839|2942|3004|3138|3468|3565|3701|3773|3832|3959|4076|4142|16157|16235|16383|16632|16844|17127|17296|17410|17458|17568|17708,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin;20260606_200103_131_session_00324/20260606_200109_321_conn_0002/server-to-client-0001.bin,candidate
