quest_id,title,level,type,description,state,routes,quest_state_handle
capture-021,灾难来临,5,main,"<ml>熊猫竹生算到擎天山天宫出事了，要你((传话给涧庭村的村长申公烈。))
[g]=经验700 [i=f_i_避怪符^00ccff&24@特殊&25@99&19@- 双击使用后,5分钟内不会遇敌。&2;br/&3;- 点击角色的避怪状态图标可取消状态。&2;br/&3;&2;font color='#ffff00'&3;- 明怪无效。&2;/font&3;&2;br/&3;&2;font color='#ffff00'&3;- 不可交易&2;/font&3;&20@非常古老的驱魔咒符。&27@sitem_book&101@574.png&103@0&104@0&105@&107@&108@0]避怪符[/]x3",<over>还未找涧庭村的【申公烈】对话,4950542616589339|3q24d_1|3q24a_1_1;4910542615957836|3q24d_3|3q24a_3_1,
capture-022,打倒小竹妖,7,side,"介象希望你((去【竹林_3】消灭3只小竹妖，))。消灭小竹妖后，回涧庭村找介象对话。
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500 [i=f_i_L初阶经验卡^00ccff&24@特殊&25@99&19@双击使用。击杀怪物后，将获得双倍经验，效果持续时间为1小时。该物品不能交易。&20@可以获得经验加成的神奇商城道具。&27@sitem_book&101@576.png&103@0&104@0&105@&107@&108@0]L初阶经验卡[/]x1",击杀 小竹妖 0/3,4960542616750900|3q22d_1|3q22a_1_1;4960542616750900|3q22d_2|3q22a_2_1,
capture-023,丑七品的梦,8,side,"丑七品梦见村子被尖刀暴牙袭击，委托你((去【云隐山道_5】消灭3只尖刀暴牙。))然后再回云隐村找他。
[g]=经验1200 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x300",击杀 尖刀暴牙 0/3,7000542609490978|1q23d_1|1q23a_1_1;7000542609490978|1q23d_2|1q23a_2_1,7000542609490978
capture-024,讨厌的枯木怪,8,side,"丑六品梦见村子被枯木怪袭击，委托你((去【卧佛谷_6】消灭3只枯木怪。))然后再回大佛村找他。
[g]=经验1200 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x300",击杀 枯木怪 0/3,4090542614314425|2q23d_1|2q23a_1_1,4090542614314425
capture-025,消灭刺鸟,8,side,"卢掌柜希望你((去【云隐山道_3】消灭3只刺鸟，))已解其心中恶气。消灭刺鸟后回云隐村找卢掌柜对话。
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500 [i=f_i_L初阶经验卡^00ccff&24@特殊&25@99&19@双击使用。击杀怪物后，将获得双倍经验，效果持续时间为1小时。该物品不能交易。&20@可以获得经验加成的神奇商城道具。&27@sitem_book&101@576.png&103@0&104@0&105@&107@&108@0]L初阶经验卡[/]x1",击杀 刺鸟 0/3,5000542609232627|1q22d_1|1q22a_1_1;5000542609232627|1q22d_2|1q22a_2_1,
capture-026,采集草药,10,side,"云隐村的南风先生委托你前往【树海_8】和【树海_10】采集5个黄连和5个金银花，之后回去交给他。((如果没有带采集手套，可以去道具商丑七品那买一些。))
[x]=[i=f_i_黄连^ffffff&24@材料&25@99&20@清热燥湿,泻火解毒.用于湿热痞满,呕吐吞酸,泻痢,黄疸,高热神昏,心火亢盛,心烦不寐,血热吐衄,目赤,牙痛,消渴,痈肿疔疮.&101@95.png&103@0&104@0&105@&107@&108@11]黄连[/]x5 [i=f_i_金银花^ffffff&24@材料&25@99&20@性寒味甘.具有清热解毒,凉血化淤的功效.&101@97.png&103@0&104@0&105@&107@&108@13]金银花[/]x5 
[g]=经验1200 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x400,收集　黄连 0/5",金银花 5/5,6000542609425103|1q21d_1|1q21a_1_1;6000542609425103|1q21d_2|1q21a_2_1,
capture-027,河东狮吼,10,side,"((找到【广青镇_2】的孙大福，让他赶快回家。))
[g]=经验6000",<over>还未找【广青镇_2】的孙大福谈话,2190542612528390|4q21d_1|4q21a_1_1;2180542612350162|4q21d_2|4q21a_2_1,
capture-028,全民锻造,10,side,"涧庭村的火娥娘担心魔军攻入村子，正带领大伙锻造铠甲，但缺少一些碎铁矿。((去【涧庭山道_2】的碎铁矿采集点采集20个碎铁矿))交给他。((【注：该任务2小时一周期】))
[x]=[i=f_i_碎铁矿^ffffff&24@材料&25@99&20@制造武器和护具的基本素材&101@105.png&103@0&104@0&105@&107@&108@12]碎铁矿[/]x20 
[g]=[i=f_i_银元宝^C156C7&24@材料 消耗品&25@9999&19@双击可兑换为1000铜币&20@游戏中的货币,用于流通买卖&27@sitem_jhj&101@39.png&103@0&104@0&105@&107@&108@0]银元宝[/]x1",<over>收集 碎铁矿 20/20,4920542616052493|3q28d_1|3q28a_1_1;4920542616052493|3q28d_2|3q28a_2_1,
capture-029,山道伐木,10,side,"前往【涧庭山道_1】的木材采集点，采集5个木材。然后回去交给涧庭村的叶眉。((如果没有带采集手套，可以去道具商介象那买一些。
[x]=[i=f_i_木材&24@材料&25@99&20@制造武器和工具的基本素材.&27@sitem_wood&101@86.png&103@0&104@0&105@&107@&108@12]木材[/]x5 
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500 [i=f_i_L包子&24@消耗品&25@99&7@600&20@带馅的包子,看起来非常可口,食用后可恢复些气力.&101@212.png&103@0&104@0&105@&107@&108@0]L包子[/]x5",收集 木材 0/5,4940542616468969|3q19d_1|3q19a_1_1;4940542616468969|3q19d_2|3q19a_2_1,
capture-030,山谷采药,10,side,"大佛的无颜委托你前往【卧佛谷_8】和【卧佛谷_9】采集5个黄连和5个金银花，之后回去交给他。((如果没有带采集手套，可以去道具商丑六品那买一些。))
[x]=[i=f_i_黄连^ffffff&24@材料&25@99&20@清热燥湿,泻火解毒.用于湿热痞满,呕吐吞酸,泻痢,黄疸,高热神昏,心火亢盛,心烦不寐,血热吐衄,目赤,牙痛,消渴,痈肿疔疮.&101@95.png&103@0&104@0&105@&107@&108@11]黄连[/]x5 [i=f_i_金银花^ffffff&24@材料&25@99&20@性寒味甘.具有清热解毒,凉血化淤的功效.&101@97.png&103@0&104@0&105@&107@&108@13]金银花[/]x5 
[g]=经验1200 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x400,收集　黄连 0/5",金银花 5/5,4110542614676637|2q21d_1|2q21a_1_1;4110542614676637|2q21d_2|2q21a_2_1,
capture-031,山谷伐木,10,side,"前往【卧佛谷_4】的木材采集点，采集5个木材。然后回去交给大佛村的蒙达悟。((如果没有带采集手套，可以去道具商丑六品那买一些。
[x]=[i=f_i_木材&24@材料&25@99&20@制造武器和工具的基本素材.&27@sitem_wood&101@86.png&103@0&104@0&105@&107@&108@12]木材[/]x5 
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500 [i=f_i_L包子&24@消耗品&25@99&7@600&20@带馅的包子,看起来非常可口,食用后可恢复些气力.&101@212.png&103@0&104@0&105@&107@&108@0]L包子[/]x5",<over>收集 木材 5/5,4130542614832797|2q19d_1|2q19a_1_1;4130542614832797|2q19d_2|2q19a_2_1,
capture-032,山谷狩猎,10,side,"大佛村的阿达奴委托你前往【卧佛谷_1】的肉采集点，采集5块肉，之后回去交给他。((如果没有带采集手套，可以去道具商丑六品那买一些。))
[x]=[i=f_i_肉&24@材料 消耗品&25@99&7@50&20@动物的肉,直接食用能加些气力.&101@70.png&103@0&104@0&105@&107@&108@12]肉[/]x5 
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500",<over>收集 肉 5/5,4120542614739860|2q20d_1|2q20a_1_1;4120542614739860|2q20d_2|2q20a_2_1,
capture-033,收集花瓣,10,side,"((去【树海_3】消灭一些花妖，从它们身上获取2个花瓣，))然后把它交给云隐村的蒙达悟。
[x]=[i=f_i_花瓣&24@材料&25@99&20@花瓣具有显著的斑纹,或有蜜腺可以分泌蜜汁,产生含糖的花蜜,吸引昆虫.&101@89.png&103@0&104@0&105@&107@&108@33]花瓣[/]x2 
[g]=经验2000",收集 花瓣 0/2,3000542609015823|1q31d_1|1q31a_1_1;3000542609015823|1q31d_2|1q31a_2_1,
capture-034,讨厌的刀手螳螂,10,side,"叶眉希望你((去【竹林_5】消灭3只刀手螳螂，))。消灭刀手螳螂后，回涧庭村找叶眉对话。
[g]=经验1200 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x300",<over>击杀 刀手螳螂 3/3,4940542616468969|3q23d_1|3q23a_1_1;4940542616468969|3q23d_2|3q23a_2_1,
capture-035,王喜财的兵器,10,side,"伏天让你((将一把兵器带给【广青镇_2】的王喜财。))
[g]=经验8000",<over>还未找【广青镇_2】的王喜财谈话,1780542610743555|4q33d_1|4q33a_1_1;2150542612192672|4q33d_2|4q33a_2_1,
capture-036,消灭大枯木怪,10,side,"大佛村的炎衣娘要你((去【卧佛谷_16】消灭3只大枯木怪，))然后回去找她对话。
[g]=经验2200",击杀 大枯木怪 0/3,4130542614832797|2q31d_1|2q31a_1_1;4130542614832797|2q31d_2|2q31a_2_1,
capture-037,云烧肉,10,side,"云隐村的卢掌柜委托你前往【云隐村口_1】的肉采集点，采集5块肉，之后回去交给他。((如果没有带采集手套，可以去道具商丑七品那买一些。))
[x]=[i=f_i_肉&24@材料 消耗品&25@99&7@50&20@动物的肉,直接食用能加些气力.&101@70.png&103@0&104@0&105@&107@&108@12]肉[/]x5 
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500",<over>收集 肉 5/5,5000542609232627|1q20d_1|1q20a_1_1;5000542609232627|1q20d_2|1q20a_2_1,
capture-038,竹林采药,10,side,"涧庭的熊猫竹生委托你前往【竹林_6】和【竹林_8】采集5个黄连和5个金银花，之后回去交给他。((如果没有带采集手套，可以去道具商介象那买一些。))
[x]=[i=f_i_黄连^ffffff&24@材料&25@99&20@清热燥湿,泻火解毒.用于湿热痞满,呕吐吞酸,泻痢,黄疸,高热神昏,心火亢盛,心烦不寐,血热吐衄,目赤,牙痛,消渴,痈肿疔疮.&101@95.png&103@0&104@0&105@&107@&108@11]黄连[/]x5 [i=f_i_金银花^ffffff&24@材料&25@99&20@性寒味甘.具有清热解毒,凉血化淤的功效.&101@97.png&103@0&104@0&105@&107@&108@13]金银花[/]x5 
[g]=经验1200 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x400,收集　黄连 0/5",金银花 5/5,4950542616589339|3q21d_1|3q21a_1_1;4950542616589339|3q21d_2|3q21a_2_1,
capture-039,竹林狩猎,10,side,"涧庭村的铃铛委托你((前往【竹林_1】的肉采集点，采集5块肉，))之后回去交给他。((如果没有带采集手套，可以去道具商介象那买一些。))
[x]=[i=f_i_肉&24@材料 消耗品&25@99&7@50&20@动物的肉,直接食用能加些气力.&101@70.png&103@0&104@0&105@&107@&108@12]肉[/]x5 
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500",<over>收集 肉 5/5,4930542616250587|3q20d_1|3q20a_1_1;4930542616250587|3q20d_2|3q20a_2_1,
capture-040,准备柴火,10,side,"前往【树海_1】的木材采集点，采集5个木材。然后回去交给大佛的炎衣娘。((如果没有带采集手套，可以去道具商丑七品那买一些。))
[x]=[i=f_i_木材&24@材料&25@99&20@制造武器和工具的基本素材.&27@sitem_wood&101@86.png&103@0&104@0&105@&107@&108@12]木材[/]x5 
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x500 [i=f_i_L包子&24@消耗品&25@99&7@600&20@带馅的包子,看起来非常可口,食用后可恢复些气力.&101@212.png&103@0&104@0&105@&107@&108@0]L包子[/]x5",<over>收集 木材 5/5,3000542609015823|1q19d_1|1q19a_1_1;3000542609015823|1q19d_2|1q19a_2_1,
capture-041,丑家聚会,12,side,"((通知【广青镇_1】的丑五品有关丑家聚会的事情。))
[g]=经验7000 [i=f_i_银元宝^C156C7&24@材料 消耗品&25@9999&19@双击可兑换为1000铜币&20@游戏中的货币,用于流通买卖&27@sitem_jhj&101@39.png&103@0&104@0&105@&107@&108@0]银元宝[/]x1",<over>还未找【广青镇_1】的丑五品谈话,1810542611191117|4q3d_1|4q3a_1_1;1820542611400955|1|4q3os;1820542611400955|4q3d_2|4q3a_2_1,
capture-042,击溃紫毒蜈蚣,12,main,"<ml>涧庭村的申公烈委托你前往【竹林_10】附近找到【紫毒蜈蚣】并消灭它。消灭紫毒蜈蚣后,回涧庭村找申公烈交差。((按【M】键打开并查看大佛地区的地图，可以找到竹林_10的位置。))
[g]=经验2000 [i=f_i_L花卷^ffffff&24@消耗品&25@99&7@350&20@葱香的花卷馒头.食用后可恢复一些气力.&101@213.png&103@0&104@0&105@&107@&108@0]L花卷[/]x2",<over>击杀 紫毒蜈蚣 1/1,4910542615957836|3q29d_1|3q29a_1_1;4910542615957836|3q29d_2|3q29a_2_1,
capture-043,军队的护具,12,main,"<ml>广青军在前线与魔军交锋急缺护具，((找到【广青镇_3】的云衣娘，))让她准备一些。
[g]=经验3000",<over>还未找【广青镇_3】的云衣娘交谈,2520542613299551|4q23d_1|4q23a_1_1;2500542613172144|4q23d_2|4q23a_2_1,
capture-044,军队的药品,12,main,"<ml>((去找【广青镇_3】的伏罗，))告之他前线的军队急需药品。
[g]=经验3000",<over>还未找【广青镇_3】的伏罗交谈,1780542610743555|4q19d_1|4q19a_1_1;2520542613299551|4q19d_2|4q19a_2_1,
capture-045,武艺进展,12,side,"王喜财让你去问问((大斗))，看看他最近武艺进展得如何。
[g]=经验8000",<over>还未找【广青镇_2】的大斗谈话,2150542612192672|4q75d_1|4q75a_1_1;2100542611864758|4q75d_2|4q75a_2_1,
capture-046,消灭螳螂王,12,side,"涧庭村的叶眉要你((去【竹林_14】消灭1只螳螂王，))然后回去找她对话。
[g]=经验2400",<over>击杀 螳螂王 1/1,4940542616468969|3q31d_1|3q31a_1_1;4940542616468969|3q31d_2|3q31a_2_1,
capture-047,征粮令,12,side,"广青官府有令：((凡广青之民需交纳15块肉给【广青镇_2】的衙役甲))，以囤做军用。
((【注：该任务5小时一周期】))
[x]=[i=f_i_肉&24@材料 消耗品&25@99&7@50&20@动物的肉,直接食用能加些气力.&101@70.png&103@0&104@0&105@&107@&108@12]肉[/]x15 
[g]=[i=f_i_银元宝^C156C7&24@材料 消耗品&25@9999&19@双击可兑换为1000铜币&20@游戏中的货币,用于流通买卖&27@sitem_jhj&101@39.png&103@0&104@0&105@&107@&108@0]银元宝[/]x2",<over>收集 肉 15/15,2200542612620422|1|4q15gs;2200542612620422|4q15d_1|4q15a_1_1;2200542612620422|1|4q15os;2200542612620422|4q15d_2|4q15a_2_1,
capture-048,征木令,12,side,"广青官府有令：((凡广青之民需交纳20个木材给【广青镇_2】的衙役甲))，以囤做军用。
((【注：该任务5小时一周期】))
[x]=[i=f_i_木材&24@材料&25@99&20@制造武器和工具的基本素材.&27@sitem_wood&101@86.png&103@0&104@0&105@&107@&108@12]木材[/]x20 
[g]=[i=f_i_银元宝^C156C7&24@材料 消耗品&25@9999&19@双击可兑换为1000铜币&20@游戏中的货币,用于流通买卖&27@sitem_jhj&101@39.png&103@0&104@0&105@&107@&108@0]银元宝[/]x2",<over>收集 木材 20/20,2200542612620422|4q16d_1|4q16a_1_1;2200542612620422|4q16d_2|4q16a_2_1,
capture-049,征石令,12,side,"广青官府有令：((凡广青之民需交纳20个石块给【广青镇_2】的衙役乙))，用于防御工事。
((【注：该任务5小时一周期】))
[x]=[i=f_i_石块&24@材料&25@99&20@随处可见的石块,可造工具,也可用于建筑.&101@104.png&103@0&104@0&105@&107@&108@10]石块[/]x20 
[g]=[i=f_i_银元宝^C156C7&24@材料 消耗品&25@9999&19@双击可兑换为1000铜币&20@游戏中的货币,用于流通买卖&27@sitem_jhj&101@39.png&103@0&104@0&105@&107@&108@0]银元宝[/]x2",<over>收集 石块 20/20,2210542612665747|4q17d_1|4q17a_1_1;2210542612665747|1|4q17os;2210542612665747|4q17d_2|4q17a_2_1,
capture-050,征铁令,12,side,"广青官府有令：((凡广青之民需交纳15个碎铁矿给【广青镇_2】的衙役乙))，用于防御工事。
((【注：该任务5小时一周期】))
[x]=[i=f_i_碎铁矿^ffffff&24@材料&25@99&20@制造武器和护具的基本素材&101@105.png&103@0&104@0&105@&107@&108@12]碎铁矿[/]x15 
[g]=[i=f_i_银元宝^C156C7&24@材料 消耗品&25@9999&19@双击可兑换为1000铜币&20@游戏中的货币,用于流通买卖&27@sitem_jhj&101@39.png&103@0&104@0&105@&107@&108@0]银元宝[/]x2",<over>收集 碎铁矿 15/15,2210542612665747|1|4q18gs;2210542612665747|4q18d_1|4q18a_1_1;2210542612665747|4q18d_2|4q18a_2_1,
capture-051,爆骨猪扰民,13,main,"<ml>((去【平原_7】消灭5只爆骨猪。))之后回去找到【广青镇_3】的广青守卫乙交差。
[g]=经验5000 [i=f_i_L背包补丁^00ccff&24@特殊&25@99&19@使用后增加6格背包容积,扩大上限为90格&20@缝制和扩展背包的专用补丁.&27@sitem_ezhj&101@560.png&103@0&104@0&105@&107@&108@0]L背包补丁[/]x1",击杀 爆骨猪 0/5,2530542613373649|4q7d_1|4q7a_1_1;2530542613373649|4q7d_2|4q7a_2_1,
