map_id,source_monster_handle,exp_delta,items,window_count,item_counts,item_drop_windows,item_observed_rates,source,status
67,5375674287331644,0,废渣x1;石块x1;碎铁矿x1,1,废渣x1;石块x1;碎铁矿x1,废渣x1;石块x1;碎铁矿x1,废渣=1/1;石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#67-baimagicrock-632,confirmed
67,5377674287332736,0,废渣x2;碎铁矿x1;石块x1,2,废渣x2;碎铁矿x1;石块x1,废渣x2;碎铁矿x1;石块x1,废渣=2/2;碎铁矿=1/2;石块=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#67-bluemagicrock-586,confirmed
67,5379674287333653,0,废渣x2;碎铁矿x1;石块x1,2,废渣x2;碎铁矿x1;石块x1,废渣x2;碎铁矿x1;石块x1,废渣=2/2;碎铁矿=1/2;石块=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#67-bluemagicrock-586,confirmed
68,1509674533823464,0,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,3,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭=1/3;石块=1/3;碎铁矿=2/3;废渣=2/3,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#68-baimagicrock-632,confirmed
68,1511674533825915,0,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,3,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭=1/3;石块=1/3;碎铁矿=2/3;废渣=2/3,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#68-baimagicrock-632,confirmed
68,1513674533826981,0,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,3,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭=1/3;石块=1/3;碎铁矿=2/3;废渣=2/3,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#68-baimagicrock-632,confirmed
68,1515674533827497,0,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,3,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭x1;石块x1;碎铁矿x2;废渣x2,L小喇叭=1/3;石块=1/3;碎铁矿=2/3;废渣=2/3,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#68-baimagicrock-632,confirmed
69,4255674575781235,0,石块x2;碎铁矿x1;L小喇叭x1,2,石块x2;碎铁矿x1;L小喇叭x1,石块x2;碎铁矿x1;L小喇叭x1,石块=2/2;碎铁矿=1/2;L小喇叭=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#69-baimagicrock-570,confirmed
69,4257674575782978,0,石块x2;碎铁矿x1;L小喇叭x1,2,石块x2;碎铁矿x1;L小喇叭x1,石块x2;碎铁矿x1;L小喇叭x1,石块=2/2;碎铁矿=1/2;L小喇叭=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#69-baimagicrock-570,confirmed
69,4259674575784252,0,废渣x1;石块x1,1,废渣x1;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#69-baimagicrock-745,confirmed
69,4261674575785819,0,废渣x1;石块x1,1,废渣x1;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#69-baimagicrock-745,confirmed
71,1183674677329555,0,废渣x2;石块x2;碎铁矿x2,4,废渣x2;石块x2;碎铁矿x2,废渣x2;石块x2;碎铁矿x2,废渣=2/4;石块=2/4;碎铁矿=2/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#71-baimagicrock-570,confirmed
71,1185674677330655,0,废渣x2;石块x2;碎铁矿x2,4,废渣x2;石块x2;碎铁矿x2,废渣x2;石块x2;碎铁矿x2,废渣=2/4;石块=2/4;碎铁矿=2/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#71-baimagicrock-570,confirmed
71,1187674677331194,0,废渣x1;石块x1,1,废渣x1;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#69-baimagicrock-745,confirmed
71,1189674677333369,0,废渣x1;石块x1,1,废渣x1;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#69-baimagicrock-745,confirmed
71,1191674677334956,0,废渣x2;石块x2;碎铁矿x2,4,废渣x2;石块x2;碎铁矿x2,废渣x2;石块x2;碎铁矿x2,废渣=2/4;石块=2/4;碎铁矿=2/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#71-baimagicrock-570,confirmed
71,1193674677335390,0,废渣x2;石块x2;碎铁矿x2,4,废渣x2;石块x2;碎铁矿x2,废渣x2;石块x2;碎铁矿x2,废渣=2/4;石块=2/4;碎铁矿=2/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#71-baimagicrock-570,confirmed
72,5313674881098281,292,废渣x1,1,废渣x1,废渣x1,废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#72-crystalrock-708,confirmed
72,5315674881099944,292,废渣x1;石块x1;碎铁矿x1,2,废渣x1;石块x1;碎铁矿x1,废渣x1;石块x1;碎铁矿x1,废渣=1/2;石块=1/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#72-crystalrock-547,confirmed
72,5317674881101168,292,废渣x1,1,废渣x1,废渣x1,废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#72-crystalrock-708,confirmed
72,5319674881102907,292,废渣x1,1,废渣x1,废渣x1,废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#72-crystalrock-708,confirmed
72,5321674881103452,292,废渣x1;石块x1;碎铁矿x1,2,废渣x1;石块x1;碎铁矿x1,废渣x1;石块x1;碎铁矿x1,废渣=1/2;石块=1/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#72-crystalrock-547,confirmed
73,5579674739334441,292,碎铁矿x1;废渣x3;石块x1,4,碎铁矿x1;废渣x3;石块x1,碎铁矿x1;废渣x3;石块x1,碎铁矿=1/4;废渣=3/4;石块=1/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#73-crystalrock-708,confirmed
73,5581674739336439,292,碎铁矿x1;废渣x3;石块x1,4,碎铁矿x1;废渣x3;石块x1,碎铁矿x1;废渣x3;石块x1,碎铁矿=1/4;废渣=3/4;石块=1/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#73-crystalrock-708,confirmed
73,5583674739338294,292,碎铁矿x1;废渣x3;石块x1,4,碎铁矿x1;废渣x3;石块x1,碎铁矿x1;废渣x3;石块x1,碎铁矿=1/4;废渣=3/4;石块=1/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#73-crystalrock-708,confirmed
73,5585674739340680,292,碎铁矿x1;废渣x3;石块x1,4,碎铁矿x1;废渣x3;石块x1,碎铁矿x1;废渣x3;石块x1,碎铁矿=1/4;废渣=3/4;石块=1/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#73-crystalrock-708,confirmed
73,5587674739342989,292,废渣x1;石块x1;碎铁矿x1,2,废渣x1;石块x1;碎铁矿x1,废渣x1;石块x1;碎铁矿x1,废渣=1/2;石块=1/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#73-crystalrock-547,confirmed
73,5589674739343164,292,废渣x1;石块x1;碎铁矿x1,2,废渣x1;石块x1;碎铁矿x1,废渣x1;石块x1;碎铁矿x1,废渣=1/2;石块=1/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#73-crystalrock-547,confirmed
74,9031674933909671,0,废渣x1;石块x1;碎铁矿x1,1,废渣x2;石块x2;碎铁矿x1,废渣x1;石块x1;碎铁矿x1,废渣=1/1;石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#74-baimagicrock-570,confirmed
74,9033674933911913,0,废渣x1;石块x1;碎铁矿x1,1,废渣x2;石块x2;碎铁矿x1,废渣x1;石块x1;碎铁矿x1,废渣=1/1;石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#74-baimagicrock-570,confirmed
74,9035674933912540,0,废渣x2;石块x1;碎铁矿x1,2,废渣x2;石块x1;碎铁矿x1,废渣x2;石块x1;碎铁矿x1,废渣=2/2;石块=1/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#74-baimagicrock-745,confirmed
74,9037674933914197,0,废渣x2;石块x1;碎铁矿x1,2,废渣x2;石块x1;碎铁矿x1,废渣x2;石块x1;碎铁矿x1,废渣=2/2;石块=1/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#74-baimagicrock-745,confirmed
74,9039674933915532,584,石块x1;废渣x1,1,石块x1;废渣x1,石块x1;废渣x1,石块=1/1;废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#74-crystalrock-708,confirmed
74,9041674933916861,584,石块x1;废渣x1,1,石块x1;废渣x1,石块x1;废渣x1,石块=1/1;废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#74-crystalrock-708,confirmed
75,8110675527789273,632,废渣x2;石块x2;碎铁矿x1,2,废渣x4;石块x3;碎铁矿x1,废渣x2;石块x2;碎铁矿x1,废渣=2/2;石块=2/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#75-crystalrock-730,confirmed
75,8130675527791587,632,废渣x2;石块x2;碎铁矿x1,2,废渣x4;石块x3;碎铁矿x1,废渣x2;石块x2;碎铁矿x1,废渣=2/2;石块=2/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#75-crystalrock-730,confirmed
75,8150675527792799,292,废渣x1;石块x1,1,废渣x1;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#75-crystalrock-547,confirmed
75,8170675527794372,632,废渣x2;石块x2;碎铁矿x1,2,废渣x4;石块x3;碎铁矿x1,废渣x2;石块x2;碎铁矿x1,废渣=2/2;石块=2/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#75-crystalrock-730,confirmed
75,8190675527795636,632,废渣x2;石块x2;碎铁矿x1,2,废渣x4;石块x3;碎铁矿x1,废渣x2;石块x2;碎铁矿x1,废渣=2/2;石块=2/2;碎铁矿=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#75-crystalrock-730,confirmed
75,8210675527797680,292,废渣x1;石块x1,1,废渣x1;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#75-crystalrock-547,confirmed
76,1038675671970511,632,废渣x1;L小喇叭x1;石块x1;碎铁矿x1,1,废渣x2;L小喇叭x1;石块x1;碎铁矿x1,废渣x1;L小喇叭x1;石块x1;碎铁矿x1,废渣=1/1;L小喇叭=1/1;石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#76-crystalrock-730,confirmed
76,1040675671971889,632,废渣x1;L小喇叭x1;石块x1;碎铁矿x1,1,废渣x2;L小喇叭x1;石块x1;碎铁矿x1,废渣x1;L小喇叭x1;石块x1;碎铁矿x1,废渣=1/1;L小喇叭=1/1;石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#76-crystalrock-730,confirmed
76,1042675671973672,632,废渣x1;L小喇叭x1;石块x1;碎铁矿x1,1,废渣x2;L小喇叭x1;石块x1;碎铁矿x1,废渣x1;L小喇叭x1;石块x1;碎铁矿x1,废渣=1/1;L小喇叭=1/1;石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#76-crystalrock-730,confirmed
76,1044675671974869,584,废渣x1;石块x1,1,废渣x2;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#76-crystalrock-547,confirmed
76,1046675671975970,584,废渣x1;石块x1,1,废渣x2;石块x1,废渣x1;石块x1,废渣=1/1;石块=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#76-crystalrock-547,confirmed
76,1048675671977626,682,废渣x1;石块x2;水晶x1;岩魔菱石x1;岩魔球石x1;巨岩魔的拳x1;巨岩魔的头x1;岩化护腿x1;蓝晶护肩x1;岩魔剑x1;宝匣x1,2,废渣x2;石块x3;水晶x2;岩魔菱石x2;岩魔球石x2;巨岩魔的拳x2;巨岩魔的头x1;岩化护腿x2;蓝晶护肩x2;岩魔剑x1;宝匣x1,废渣x2;石块x2;水晶x2;岩魔菱石x2;岩魔球石x2;巨岩魔的拳x2;巨岩魔的头x1;岩化护腿x2;蓝晶护肩x2;岩魔剑x1;宝匣x1,废渣=2/2;石块=2/2;水晶=2/2;岩魔菱石=2/2;岩魔球石=2/2;巨岩魔的拳=2/2;巨岩魔的头=1/2;岩化护腿=1/5;蓝晶护肩=1/5;岩魔剑=1/5;宝匣=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#76-largerock-1500;20260613_160656_039_session_27124/20260613_160706_875_conn_0002/server-to-client-0001.bin#76-largerock-1500,confirmed
77,3028675136602500,632,石块x2,2,石块x2,石块x2,石块=2/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#77-crystalrock-730,confirmed
77,3030675136603700,632,石块x2,2,石块x2,石块x2,石块=2/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#77-crystalrock-730,confirmed
77,3032675136605872,292,废渣x2;石块x1,2,废渣x2;石块x1,废渣x2;石块x1,废渣=2/2;石块=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#77-crystalrock-547,confirmed
77,3034675136606406,632,石块x2,2,石块x2,石块x2,石块=2/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#77-crystalrock-730,confirmed
77,3036675136607240,632,石块x2,2,石块x2,石块x2,石块=2/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#77-crystalrock-730,confirmed
77,3038675136609295,292,废渣x2;石块x1,2,废渣x2;石块x1,废渣x2;石块x1,废渣=2/2;石块=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#77-crystalrock-547,confirmed
78,1675675260682596,584,碎铁矿x1;废渣x1,1,碎铁矿x2;废渣x1,碎铁矿x1;废渣x1,碎铁矿=1/1;废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#78-crystalrock-547,confirmed
78,1677675260684828,584,碎铁矿x1;废渣x1,1,碎铁矿x2;废渣x1,碎铁矿x1;废渣x1,碎铁矿=1/1;废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#78-crystalrock-547,confirmed
78,1679675260685862,584,碎铁矿x1;废渣x1,1,碎铁矿x2;废渣x1,碎铁矿x1;废渣x1,碎铁矿=1/1;废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#78-crystalrock-547,confirmed
78,1681675260686878,658,废渣x1;碎铁矿x1;石块x2;岩化护腿x1;碎金片x1;岩魔菱石x1,2,废渣x1;碎铁矿x1;石块x3;岩化护腿x2;碎金片x1;岩魔菱石x1,废渣x1;碎铁矿x1;石块x2;岩化护腿x2;碎金片x1;岩魔菱石x1,废渣=1/2;碎铁矿=1/2;石块=2/2;岩化护腿=1/5;碎金片=1/2;岩魔菱石=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#78-magicrockman-1500;20260613_160656_039_session_27124/20260613_160706_875_conn_0002/server-to-client-0001.bin#78-magicrockman-1500,confirmed
131,8128205778897212,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
131,8130205778898758,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
131,8132205778899676,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1656205827185847,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1658205827186196,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1660205827187303,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1662205827187552,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1664205827188995,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1666205827189909,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
133,8112205902790159,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
133,8114205902791857,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
133,8116205902792836,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
133,8118205902792830,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
133,8120205902793205,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
133,8122205902794636,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
137,4889205982270617,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
137,4891205982270480,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
137,4893205982271973,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
137,4895205982272135,0,L小喇叭x1;黏液x1;甘露x1;毒囊x1,7,L小喇叭x1;黏液x8;甘露x4;毒囊x2,L小喇叭x1;黏液x7;甘露x3;毒囊x2,L小喇叭=1/7;黏液=7/7;甘露=3/7;毒囊=2/7,20260531_124707_399_conn_0002#reward-candidate-127-magicpanda,confirmed
137,4897205982273653,0,L小喇叭x1;黏液x1;甘露x1;毒囊x1,7,L小喇叭x1;黏液x8;甘露x4;毒囊x2,L小喇叭x1;黏液x7;甘露x3;毒囊x2,L小喇叭=1/7;黏液=7/7;甘露=3/7;毒囊=2/7,20260531_124707_399_conn_0002#reward-candidate-127-magicpanda,confirmed
137,4899205982273477,0,L小喇叭x1;黏液x1;甘露x1;毒囊x1,7,L小喇叭x1;黏液x8;甘露x4;毒囊x2,L小喇叭x1;黏液x7;甘露x3;毒囊x2,L小喇叭=1/7;黏液=7/7;甘露=3/7;毒囊=2/7,20260531_124707_399_conn_0002#reward-candidate-127-magicpanda,confirmed
140,8424206376338175,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
140,8426206376339691,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
140,8428206376340510,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
140,8430206376341780,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
140,8432206376342756,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
141,4710206556985181,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
141,4712206556985489,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
141,4714206556986370,0,毒囊x2;翠带护腰x1,4,毒囊x6;翠带护腰x1,毒囊x4;翠带护腰x1,毒囊=4/4;翠带护腰=1/4,20260531_124707_399_conn_0002#reward-candidate-127-swordpanda,confirmed
