monster_id,source_kind,map_id,map_name,handle,name,display_url,level,vocation,max_hp,max_mp,speed,attack,attack_min,attack_max,sweepspear_attack_min,sweepspear_attack_max,defense,mgc_defense,command_label,damage_defense_type,queue_index_team,queue_index_enemy,encounter_handles,source
wild-50-3720596218402838,wild,50,平原_16,3720596218402838,巡路小鬼,monstermap/lilghost.swf,16,战士,520,160,0,121,,,,,26,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=9, resolved p50=121.000; baseline attack=117; local policy, not an original-server Attack claim; player normal unit-roll defense p50=26, n=9; local policy, not an original-server Defense claim"
wild-50-1946596194721884,wild,50,平原_16,1946596194721884,巡路小鬼,monstermap/lilghost.swf,17,战士,545,184,0,124,,,,,13,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=16, resolved p50=124.000; baseline attack=120; local policy, not an original-server Attack claim; player normal unit-roll defense p50=13, n=10; local policy, not an original-server Defense claim"
wild-51-4241545370938745,wild,51,平原_17,4241545370938745,盗贼,monstermap/robber.swf,18,游侠,470,220,0,146,,,,,13,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=74, resolved p50=145.500; baseline attack=141; local policy, not an original-server Attack claim; player normal unit-roll defense p50=13, n=10; local policy, not an original-server Defense claim"
wild-51-lilghost-lv18,wild,51,平原_17,capture-51-lilghost-lv18,巡路小鬼,monstermap/lilghost.swf,18,战士,545,184,0,150,,,,,0,3,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=75, resolved p50=149.500; baseline attack=144; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=3, n=9; local policy, not an original-server Defense claim"
wild-51-bigswordwolf-lv21,wild,51,平原_17,capture-51-bigswordwolf-lv21,单刀狼人,monstermap/bigswordwolf.swf,21,战士+,2500,334,0,182,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=14, resolved p50=182.000; baseline attack=176; local policy, not an original-server Attack claim"
wild-52-4241545370938745,wild,52,平原_18,4241545370938745,盗贼,monstermap/robber.swf,18,游侠,470,220,0,164,,,,,10,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=295, resolved p50=164.000; baseline attack=157; local policy, not an original-server Attack claim; player normal unit-roll defense p50=10, n=32; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=0, n=421; local policy, not an original-server Defense claim"
wild-52-7014979944725157,wild,52,平原_18,7014979944725157,巡路小鬼,monstermap/lilghost.swf,18,战士,545,184,0,150,,,,,22,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=38, resolved p50=149.500; baseline attack=144; local policy, not an original-server Attack claim; player normal unit-roll defense p50=22, n=31; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=0, n=214; local policy, not an original-server Defense claim"
wild-52-1478600550966619,wild,52,平原_18,1478600550966619,单刀狼人,monstermap/bigswordwolf.swf,21,战士+,2500,334,0,225,,,,,401,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=85, resolved p50=225.000; baseline attack=213; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=0, n=177; local policy, not an original-server Defense claim"
wild-84-6807541628986490,wild,84,竹林_1,6807541628986490,绿甲螳螂,monstermap/greenmantis.swf,3,战士,110,40,110,44,,,,,8,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=4, resolved p50=44.250; baseline attack=43; local policy, not an original-server Attack claim"
wild-85-8881541656023182,wild,85,竹林_2,8881541656023182,绿甲螳螂,monstermap/greenmantis.swf,4,战士,140,45,140,49,,,,,9,0,普通攻击,,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-84-6807541628986490; baseline attack=48; local policy, not an original-server Attack claim"
wild-85-bamboomouse-lv3,wild,85,竹林_2,capture-85-bamboomouse-lv3,竹鼠,monstermap/bamboomouse.swf,3,游侠,100,40,140,45,,,,,8,0,普通攻击,physical,1,4,,"local half-defense full rerun: same vocation inherited ratio from wild-97-8100462475820589;wild-86-1200541669444892;wild-88-6668541757519206;wild-39-7153595193374620;wild-40-6132760366794317; baseline attack=43; local policy, not an original-server Attack claim"
wild-86-1200541669444892,wild,86,竹林_3,1200541669444892,小竹妖,monstermap/bambooboy.swf,6,游侠,180,90,180,78,,,,,14,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=77.500; baseline attack=75; local policy, not an original-server Attack claim"
wild-87-4857541734860164,wild,87,竹林_4,4857541734860164,跳跳竹,monstermap/jumpboo.swf,6,战士,180,94,180,78,,,,,14,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=77.500; baseline attack=75; local policy, not an original-server Attack claim"
wild-88-6668541757519206,wild,88,竹林_5,6668541757519206,刀手螳螂,monstermap/kinfemantis.swf,6,游侠,180,90,180,121,,,,,14,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=3, resolved p50=120.500; baseline attack=116; local policy, not an original-server Attack claim"
wild-90-8848541914382828,wild,90,竹林_7,8848541914382828,竹炮,monstermap/boobomb.swf,7,战士,190,100,190,74,,,,,7,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=73.500; baseline attack=71; local policy, not an original-server Attack claim"
wild-90-bambooboy-lv7,wild,90,竹林_7,capture-90-bambooboy-lv7,小竹妖,monstermap/bambooboy.swf,7,游侠,190,100,190,85,,,,,14,0,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-86-1200541669444892;wild-97-8100462475820589; baseline attack=82; local policy, not an original-server Attack claim"
wild-97-8100462475820589,wild,97,竹林_10,8100462475820589,小竹妖,monstermap/bambooboy.swf,5,游侠,150,80,150,72,,,,,11,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=72.000; baseline attack=70; local policy, not an original-server Attack claim"
wild-97-jumpboo-lv6,wild,97,竹林_10,capture-97-jumpboo-lv6,跳跳竹,monstermap/jumpboo.swf,6,战士,180,94,180,66,,,,,14,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=3, resolved p50=65.500; baseline attack=63; local policy, not an original-server Attack claim"
wild-97-purplecentipede-lv12,wild,97,竹林_10,capture-97-purplecentipede-lv12,紫毒蜈蚣,monstermap/purplecentipede.swf,12,战士,400,174,0,77,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=4, resolved p50=76.500; baseline attack=74; local policy, not an original-server Attack claim"
wild-56-1879687900196574,wild,56,沼泽_1,1879687900196574,小恶鬼,monstermap/lilghost.swf,20,战士,600,180,0,164,,,,,24,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=15, resolved p50=163.500; baseline attack=158; local policy, not an original-server Attack claim; player normal unit-roll defense p50=24, n=6; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=0, n=47; local policy, not an original-server Defense claim"
wild-56-2510687873023475,wild,56,沼泽_1,2510687873023475,瘴气泥巴,monstermap/mudmonster.swf,21,术士,510,225,0,213,,,,,0,142,法术普通攻击,magic,1,4,,"local half-defense full rerun: strict normal half-defense n=10, resolved p50=213.000; baseline attack=206; local policy, not an original-server Attack claim; player normal unit-roll defense p50=0, n=13; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=142, n=30; local policy, not an original-server Defense claim"
wild-57-3495688635515392,wild,57,沼泽_2,3495688635515392,瘴气泥巴,monstermap/mudmonster.swf,22,术士,520,230,0,213,,,,,0,0,法术普通攻击,magic,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=206; local policy, not an original-server Attack claim"
wild-57-4807748897740720,wild,57,沼泽_2,4807748897740720,瘴气泥巴,monstermap/mudmonster.swf,23,术士,525,250,0,225,,,,,0,0,法术普通攻击,magic,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=218; local policy, not an original-server Attack claim"
wild-58-2466748997740364,wild,58,沼泽_3,2466748997740364,瘴气泥巴,monstermap/mudmonster.swf,22,术士,520,230,0,213,,,,,0,0,法术普通攻击,magic,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=206; local policy, not an original-server Attack claim"
wild-58-6050764649850402,wild,58,沼泽_3,6050764649850402,瘴气泥巴,monstermap/mudmonster.swf,23,术士,525,250,0,225,,,,,0,0,法术普通攻击,magic,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=218; local policy, not an original-server Attack claim"
wild-59-6910749059116478,wild,59,沼泽_4,6910749059116478,王花,monstermap/flowerking.swf,25,战士,750,210,0,197,,,,,0,46,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-61-8794277136639545;wild-61-4255855522129221; baseline attack=190; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=46, n=6; local policy, not an original-server Defense claim"
wild-59-3372749147172679,wild,59,沼泽_4,3372749147172679,王花,monstermap/flowerking.swf,24,战士,760,160,0,202,,,,,0,7,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-61-4255855522129221;wild-61-8794277136639545; baseline attack=195; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=7, n=10; local policy, not an original-server Defense claim"
wild-60-4388749304285760,wild,60,沼泽_5,4388749304285760,毒蜂,monstermap/drughornets.swf,24,游侠,680,220,0,167,,,,,44,14,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-62-6230749623881500;wild-175-1292876508688954;wild-177-1356924340603876; baseline attack=162; local policy, not an original-server Attack claim; player normal unit-roll defense p50=44, n=5; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=14, n=15; local policy, not an original-server Defense claim"
wild-60-1019749509430681,wild,60,沼泽_5,1019749509430681,王花,monstermap/flowerking.swf,25,战士,750,210,0,197,,,,,0,28,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-61-8794277136639545;wild-61-4255855522129221; baseline attack=190; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=28, n=6; local policy, not an original-server Defense claim"
wild-61-8794277136639545,wild,61,沼泽_7,8794277136639545,王花,monstermap/flowerking.swf,25,战士,750,210,0,224,,,,,0,6,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=6, resolved p50=224.000; baseline attack=216; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=6, n=20; local policy, not an original-server Defense claim"
wild-61-4255855522129221,wild,61,沼泽_7,4255855522129221,王花,monstermap/flowerking.swf,24,战士,760,160,0,174,,,,,0,10,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=9, resolved p50=174.000; baseline attack=168; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=10, n=30; local policy, not an original-server Defense claim"
wild-62-6230749623881500,wild,62,沼泽_6,6230749623881500,毒蜂,monstermap/drughornets.swf,25,游侠,680,220,0,177,,,,,22,4,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=11, resolved p50=176.500; baseline attack=171; local policy, not an original-server Attack claim; player normal unit-roll defense p50=22, n=9; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=4, n=123; local policy, not an original-server Defense claim"
wild-63-8413750350934133,wild,63,沼泽_8,8413750350934133,金斑鳄,monstermap/goldcayman.swf,26,战士,980,160,0,185,,,,,60,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=13, resolved p50=185.000; baseline attack=179; local policy, not an original-server Attack claim; player normal unit-roll defense p50=60, n=43; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=0, n=173; local policy, not an original-server Defense claim"
wild-63-3620750641104472,wild,63,沼泽_8,3620750641104472,金斑鳄,monstermap/goldcayman.swf,26,战士,1020,140,0,198,,,,,70,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=5, resolved p50=198.000; baseline attack=191; local policy, not an original-server Attack claim; player normal unit-roll defense p50=70, n=33; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=0, n=185; local policy, not an original-server Defense claim"
wild-172-1040767153512470,wild,172,沼泽_10,1040767153512470,玄龟兽,monstermap/occulttortoise.swf,28,战士,1221,200,0,181,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-173-2500770180184588;wild-175-9520876486737550; baseline attack=175; local policy, not an original-server Attack claim"
wild-172-4253767046366640,wild,172,沼泽_10,4253767046366640,玄龟兽,monstermap/occulttortoise.swf,29,战士,1260,200,0,181,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-175-9520876486737550;wild-173-2500770180184588; baseline attack=175; local policy, not an original-server Attack claim"
wild-173-2500770180184588,wild,173,沼泽_11,2500770180184588,玄龟兽,monstermap/occulttortoise.swf,28,战士,1221,200,0,192,,,,,41,24,普通攻击,physical,1,4,,"local half-defense full rerun: cross-target half-defense calibration n=255, resolved p50=191.5; baseline attack=185; local policy, not an original-server Attack claim; player normal unit-roll defense p50=41, n=8; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=24, n=255; local policy, not an original-server Defense claim"
wild-174-3741766722935500,wild,174,沼泽_12,3741766722935500,玄龟兽,monstermap/occulttortoise.swf,29,战士,1260,200,0,181,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-175-9520876486737550;wild-173-2500770180184588; baseline attack=175; local policy, not an original-server Attack claim"
wild-174-drughornets-lv28,wild,174,沼泽_12,capture-174-drughornets-lv28,毒蜂,monstermap/drughornets.swf,28,游侠,850,320,0,189,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-175-1292876508688954;wild-177-1356924340603876;wild-62-6230749623881500; baseline attack=183; local policy, not an original-server Attack claim"
wild-175-3729876678791209,wild,175,沼泽_13,3729876678791209,赤蛰子,monstermap/beequeen.swf,32,游侠+,3100,510,0,250,,,,,0,38,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=10, resolved p50=250.000; baseline attack=242; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=38, n=33; local policy, not an original-server Defense claim"
wild-175-1292876508688954,wild,175,沼泽_13,1292876508688954,毒蜂,monstermap/drughornets.swf,28,游侠,850,320,0,189,,,,,0,4,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=48, resolved p50=189.000; baseline attack=183; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=4, n=93; local policy, not an original-server Defense claim"
wild-175-9520876486737550,wild,175,沼泽_13,9520876486737550,玄龟兽,monstermap/occulttortoise.swf,29,战士,1260,200,0,221,,,,,0,6,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=43, resolved p50=221.000; baseline attack=214; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=6, n=119; local policy, not an original-server Defense claim"
wild-177-2843924512567764,wild,177,沼泽_15,2843924512567764,赤蛰子,monstermap/beequeen.swf,32,游侠+,3100,510,0,232,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=3, resolved p50=232.000; baseline attack=224; local policy, not an original-server Attack claim"
wild-177-1356924340603876,wild,177,沼泽_15,1356924340603876,毒蜂,monstermap/drughornets.swf,28,游侠,850,320,0,184,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=184.000; baseline attack=178; local policy, not an original-server Attack claim"
wild-178-4062924384803641,wild,178,沼泽_16,4062924384803641,毒蜂,monstermap/drughornets.swf,28,游侠,850,320,0,192,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-175-1292876508688954;wild-177-1356924340603876;wild-62-6230749623881500; baseline attack=186; local policy, not an original-server Attack claim"
visible-131-8128205778897212,visible,131,水帘洞_1,8128205778897212,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,133,,,,,0,3,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=133.000; baseline attack=129; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=3, n=6; local policy, not an original-server Defense claim"
visible-131-8130205778898758,visible,131,水帘洞_1,8130205778898758,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,133,,,,,0,3,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=133.000; baseline attack=129; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=3, n=6; local policy, not an original-server Defense claim"
visible-131-8132205778899676,visible,131,水帘洞_1,8132205778899676,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,133,,,,,0,3,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=133.000; baseline attack=129; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=3, n=6; local policy, not an original-server Defense claim"
visible-132-1656205827185847,visible,132,水帘洞_2,1656205827185847,武斗蛤蟆,monstermap/kongfupanda.swf,13,战士,573,224,130,159,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=159.000; baseline attack=154; local policy, not an original-server Attack claim"
visible-132-1658205827186196,visible,132,水帘洞_2,1658205827186196,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,136,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=136.250; baseline attack=132; local policy, not an original-server Attack claim"
visible-132-1660205827187303,visible,132,水帘洞_2,1660205827187303,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,136,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=136.250; baseline attack=132; local policy, not an original-server Attack claim"
visible-132-1662205827187552,visible,132,水帘洞_2,1662205827187552,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,136,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=136.250; baseline attack=132; local policy, not an original-server Attack claim"
visible-132-1664205827188995,visible,132,水帘洞_2,1664205827188995,武斗蛤蟆,monstermap/kongfupanda.swf,13,战士,573,224,130,159,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=159.000; baseline attack=154; local policy, not an original-server Attack claim"
visible-132-1666205827189909,visible,132,水帘洞_2,1666205827189909,武斗蛤蟆,monstermap/kongfupanda.swf,13,战士,573,224,130,159,,,,,0,0,普通攻击,physical,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=159.000; baseline attack=154; local policy, not an original-server Attack claim"
visible-133-8112205902790159,visible,133,水帘洞_3,8112205902790159,武斗蛤蟆,monstermap/kongfupanda.swf,14,战士,586,294,130,162,,,,,3,0,普通攻击,physical,1,4,,"local half-defense full rerun: same monster family inherited ratio from visible-132-1656205827185847;visible-132-1664205827188995;visible-132-1666205827189909; baseline attack=157; local policy, not an original-server Attack claim; player normal unit-roll defense p50=3, n=6; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=0, n=8; local policy, not an original-server Defense claim"
